code,title,affectedPart,severity,problem,symptoms,actions,location
P0105,MAP Sensor Circuit Malfunction,MAP Sensor,warning,"The Engine Control Unit (ECU) has detected an electrical fault or out-of-range signal from the Manifold Absolute Pressure (MAP) sensor.",Engine hesitation; Poor fuel economy; Check Engine Light (CEL) on,Inspect wiring and connectors to MAP sensor; Test MAP sensor output voltage; Replace MAP sensor,Near the throttle body, connected to the intake manifold
P0107,MAP Sensor Circuit Low Input,MAP Sensor,warning,"The ECU detects a voltage signal from the MAP sensor that is lower than the normal operating range, suggesting a vacuum leak or sensor issue.",Lean condition; Engine stalls at idle; Poor throttle response,Check for vacuum leaks in intake manifold; Inspect MAP sensor wiring for open circuits; Test or replace MAP sensor,Near the throttle body, connected to the intake manifold
P0108,MAP Sensor Circuit High Input,MAP Sensor,warning,"The ECU detects a voltage signal from the MAP sensor that is higher than the normal operating range, possibly indicating a sensor malfunction or wiring issue.",Rich condition; Rough idle; Reduced engine power,Inspect MAP sensor wiring for shorts to voltage; Test MAP sensor output voltage; Replace MAP sensor if faulty,Near the throttle body, connected to the intake manifold
P0112,Intake Air Temperature Sensor Circuit Low Input,IAT Sensor,warning,"The ECU detects a lower than expected voltage from the IAT sensor, indicating the intake air is colder than plausible or a circuit fault.",Increased fuel consumption; Difficulty starting in cold weather; Engine runs rich,Check IAT sensor wiring for shorts to ground; Test IAT sensor resistance; Replace IAT sensor,Integrated into the airbox or intake manifold
P0113,Intake Air Temperature Sensor Circuit High Input,IAT Sensor,warning,"The ECU detects a higher than expected voltage from the IAT sensor, indicating the intake air is hotter than plausible or an open circuit.",Reduced engine power; Hesitation during acceleration; Engine runs lean,Inspect IAT sensor wiring for open circuits; Test IAT sensor resistance; Replace IAT sensor,Integrated into the airbox or intake manifold
P0117,Engine Coolant Temperature Sensor Circuit Low Input,ECT Sensor,warning,"The ECU detects a voltage from the ECT sensor lower than expected, suggesting the engine is colder than plausible or a short in the circuit.",Hard starting when cold; Rich fuel mixture; Reduced fuel efficiency,Check ECT sensor wiring for shorts to ground; Test ECT sensor resistance; Replace ECT sensor,On the cylinder head or near the thermostat housing
P0118,Engine Coolant Temperature Sensor Circuit High Input,ECT Sensor,warning,"The ECU detects a voltage from the ECT sensor higher than expected, suggesting the engine is hotter than plausible or an open circuit.",Engine overheating (false reading); Lean fuel mixture; Cooling fan always on,Inspect ECT sensor wiring for open circuits; Test ECT sensor resistance; Replace ECT sensor,On the cylinder head or near the thermostat housing
P0122,Throttle Position Sensor Circuit Low Input,TPS Sensor,critical,"The ECU detects an unusually low voltage signal from the Throttle Position Sensor (TPS), indicating the throttle is less open than plausible or a circuit fault.",Poor throttle response; Engine hesitation; Stalling at idle,Check TPS wiring for shorts to ground; Test TPS output voltage across range; Replace TPS sensor,Attached to the throttle body, rotates with the throttle plate
P0123,Throttle Position Sensor Circuit High Input,TPS Sensor,critical,"The ECU detects an unusually high voltage signal from the TPS, indicating the throttle is more open than plausible or an open circuit.",Uncontrolled high RPM; Poor idle; Engine hesitation,Inspect TPS wiring for open circuits or shorts to voltage; Test TPS output voltage across range; Replace TPS sensor,Attached to the throttle body, rotates with the throttle plate
P0131,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1),O2 Sensor,warning,"The O2 sensor consistently reports a low voltage, indicating a lean exhaust condition or a sensor malfunction.",Reduced fuel efficiency; Check Engine Light (CEL); Engine hesitation,Check for exhaust leaks before O2 sensor; Inspect O2 sensor wiring for shorts; Replace O2 sensor,Mounted in the exhaust pipe, before the catalytic converter
