code,title,affectedPart,severity,problem,symptoms,actions,location
01,TPS Sensor Short Circuit to Ground,Throttle Position Sensor (TPS),critical,The ECU detects a voltage from the Throttle Position Sensor that is abnormally low, indicating a short circuit to ground or faulty sensor. This prevents accurate throttle input measurement.,Engine will not start; Engine enters limp home mode; Unstable idle or stalling,Check TPS wiring for shorts; Inspect TPS connector for corrosion; Replace TPS if sensor output is faulty,On the throttle body, near the intake manifold
02,TPS Sensor Open Circuit or Short to Battery,Throttle Position Sensor (TPS),critical,The ECU detects a voltage from the Throttle Position Sensor that is abnormally high or completely open, preventing accurate throttle input measurement.,Engine enters limp home mode; High erratic idle; Engine cuts out,Check TPS wiring for open circuits or shorts to battery; Inspect TPS connector; Replace TPS,On the throttle body, near the intake manifold
03,MAP Sensor Short Circuit to Ground,Manifold Absolute Pressure (MAP) Sensor,warning,The ECU detects an abnormally low voltage from the MAP sensor, indicating a short circuit to ground. This leads to incorrect air mass calculations.,Poor engine performance; Increased fuel consumption; Rough idle,Check MAP sensor wiring for shorts; Clean MAP sensor port; Replace MAP sensor,On the intake manifold or connected via a vacuum hose
04,MAP Sensor Open Circuit or Short to Battery,Manifold Absolute Pressure (MAP) Sensor,warning,The ECU detects an abnormally high or open circuit voltage from the MAP sensor, leading to incorrect air mass calculations.,Hesitation on acceleration; Engine misfires; Black smoke from exhaust,Check MAP sensor wiring for open circuits or shorts to battery; Inspect MAP connector; Replace MAP sensor,On the intake manifold or connected via a vacuum hose
05,ECT Sensor Short Circuit to Ground,Engine Coolant Temperature (ECT) Sensor,warning,The ECU receives an abnormally low voltage from the ECT sensor, usually interpreted as a very high engine temperature, affecting fuel mixture and idle speed.,Hard starting when cold; Engine fan always on; Poor fuel economy,Check ECT sensor wiring for shorts; Inspect sensor for damage; Replace ECT sensor,In the cylinder head or near the thermostat housing
06,ECT Sensor Open Circuit or Short to Battery,Engine Coolant Temperature (ECT) Sensor,warning,The ECU receives an abnormally high or open circuit voltage from the ECT sensor, usually interpreted as a very low engine temperature, affecting fuel mixture and idle speed.,Engine runs rich; Engine fan never comes on; Long crank times when warm,Check ECT sensor wiring for open circuits or shorts to battery; Inspect sensor connector; Replace ECT sensor,In the cylinder head or near the thermostat housing
09,Lambda (O2) Sensor Short Circuit to Ground,Oxygen (O2) Sensor,warning,The ECU detects an abnormally low voltage from the Lambda sensor, suggesting a rich mixture or a sensor fault. This impairs closed-loop fuel control.,Increased fuel consumption; Poor emissions; Engine light on,Check O2 sensor wiring for shorts; Inspect sensor for contamination; Replace O2 sensor,In the exhaust pipe, before the catalytic converter
10,Lambda (O2) Sensor Open Circuit or Short to Battery,Oxygen (O2) Sensor,warning,The ECU detects an abnormally high or open circuit voltage from the Lambda sensor, suggesting a lean mixture or a sensor fault. This impairs closed-loop fuel control.,Engine misfires; Reduced power; Hesitation,Check O2 sensor wiring for open circuits or shorts to battery; Inspect sensor connector; Replace O2 sensor,In the exhaust pipe, before the catalytic converter
11,Fuel Injector Control Circuit Malfunction,Fuel Injector,critical,The ECU detects an electrical fault in the fuel injector control circuit, either a short to ground or an open circuit. This prevents proper fuel delivery.,Engine will not start; Engine runs very rough (misfire); Fuel smell,Check injector wiring for shorts or opens; Test injector resistance; Replace injector,On the intake manifold, directly injecting into the cylinder head
12,Ignition Coil Primary Circuit Malfunction,Ignition Coil,critical,The ECU detects an electrical fault in the primary circuit of the ignition coil, such as a short to ground or an open circuit. This prevents spark generation.,Engine will not start; Engine misfires; Loss of power,Check ignition coil wiring; Test ignition coil resistance; Replace ignition coil,Mounted on or near the spark plug, or remotely with a high tension lead
15,Fuel Pump Relay Control Circuit Malfunction,Fuel Pump Relay,warning,The ECU detects an electrical fault in the fuel pump relay control circuit, preventing the fuel pump from operating correctly.,Engine will not start; Intermittent engine stalls; No fuel pump prime sound,Check fuel pump relay wiring; Test fuel pump relay; Replace fuel pump relay,Typically near the battery or fuse box
16,Cooling Fan Relay Control Circuit Malfunction,Cooling Fan Relay,warning,The ECU detects an electrical fault in the cooling fan relay control circuit, which can prevent the fan from turning on or off as needed.,Engine overheating; Cooling fan always on; Engine light on,Check fan relay wiring; Test fan relay; Replace fan relay,Near the radiator or in the fuse box
17,Vehicle Speed Sensor (VSS) Signal Error,Vehicle Speed Sensor (VSS),warning,The ECU is not receiving a correct signal from the Vehicle Speed Sensor, leading to inaccurate speed readings.,Speedometer not working; Engine idle issues; Erratic gear changes (if automatic),Check VSS wiring and connector; Clean VSS sensor head; Replace VSS sensor,Near the front or rear wheel axle, or on the transmission
18,Immobilizer Transponder Error,Immobilizer System,critical,The immobilizer system cannot read the transponder chip in the key, preventing engine start.,Engine will not start; Immobilizer light flashes; Key not recognized,Try another key; Check key for damage; Reprogram keys (dealer action),Integrated into the key and ignition switch
