code,title,affectedPart,severity,problem,symptoms,actions,location
P0107,Manifold Absolute Pressure Sensor Low Input,MAP Sensor,warning,"The Engine Control Unit (ECU) detects an unusually low voltage signal from the MAP sensor, indicating a possible vacuum leak or sensor malfunction. This affects fuel delivery and engine performance.",Poor acceleration; Rough idle; Reduced fuel economy,Inspect MAP sensor wiring for damage; Check vacuum lines connected to the manifold for leaks; Test or replace MAP sensor,Intake manifold, typically near the throttle body
P0108,Manifold Absolute Pressure Sensor High Input,MAP Sensor,warning,"The ECU detects an unusually high voltage signal from the MAP sensor, suggesting a sensor short or an issue with the manifold pressure reading. This can lead to an incorrect air-fuel mixture.",Engine hesitation; Black smoke from exhaust; Increased fuel consumption,Inspect MAP sensor wiring for shorts or damage; Clean sensor port on manifold; Test or replace MAP sensor,Intake manifold, typically near the throttle body
P0112,Intake Air Temperature Sensor Low Input,IAT Sensor,warning,"The ECU receives a low voltage signal from the IAT sensor, indicating the intake air temperature is unusually high, which can lead to rich fuel conditions.",Hard starting when cold; Increased fuel consumption; Reduced power,Inspect IAT sensor wiring; Clean sensor; Test or replace IAT sensor,Air box or intake manifold
P0113,Intake Air Temperature Sensor High Input,IAT Sensor,warning,"The ECU receives a high voltage signal from the IAT sensor, indicating the intake air temperature is unusually low, which can lead to lean fuel conditions.",Engine hesitation; Poor acceleration; Engine running rough,Inspect IAT sensor wiring for shorts; Check for air leaks near sensor; Test or replace IAT sensor,Air box or intake manifold
P0122,Throttle Position Sensor Low Input,TPS Sensor,critical,"The ECU detects an abnormally low voltage signal from the throttle position sensor, indicating a problem with the throttle plate position reading. This directly impacts throttle response.",Poor throttle response; Engine stalls at idle; Limp home mode activated,Check TPS wiring and connector; Inspect throttle body for sticking; Test or replace TPS sensor,Side of the throttle body
P0123,Throttle Position Sensor High Input,TPS Sensor,critical,"The ECU detects an abnormally high voltage signal from the throttle position sensor, indicating a problem with the throttle plate position reading. This can cause unintended acceleration or poor control.",High idle RPM; Unintended acceleration; Engine running rough,Check TPS wiring for shorts; Inspect throttle body for sticking; Test or replace TPS sensor,Side of the throttle body
P0131,O2 Sensor Circuit Low Voltage (Bank 1, Sensor 1),Oxygen Sensor,warning,"The oxygen sensor consistently reports a low voltage, indicating a lean air-fuel mixture or a faulty sensor circuit. This impacts emissions and fuel efficiency.",Increased fuel consumption; Poor engine performance; MIL illumination,Inspect O2 sensor wiring for damage; Check for exhaust leaks before the sensor; Test or replace O2 sensor,Exhaust header pipe, before the catalytic converter
P0132,O2 Sensor Circuit High Voltage (Bank 1, Sensor 1),Oxygen Sensor,warning,"The oxygen sensor consistently reports a high voltage, indicating a rich air-fuel mixture or a faulty sensor circuit. This can lead to excessive carbon buildup.",Black smoke from exhaust; Engine running rough; Reduced fuel economy,Inspect O2 sensor wiring for shorts; Check for fuel system issues (leaky injector); Test or replace O2 sensor,Exhaust header pipe, before the catalytic converter
P0135,O2 Sensor Heater Circuit Malfunction (Bank 1, Sensor 1),Oxygen Sensor Heater,warning,"The ECU detects an issue with the heater circuit for the oxygen sensor, which is essential for the sensor to reach operating temperature quickly. This can delay closed-loop operation.",Increased emissions; Delayed engine warm-up; MIL illumination,Check O2 sensor heater fuse; Inspect O2 sensor wiring for continuity; Replace O2 sensor if heater is open circuit,Exhaust header pipe, before the catalytic converter
P0171,System Too Lean (Bank 1),Fuel System / Intake System,warning,"The ECU determines that the engine is consistently running with too much air or not enough fuel based on O2 sensor readings. This can cause engine damage over time.",Lack of power; Engine misfires; Overheating,Check for vacuum leaks (intake manifold, hoses); Inspect fuel pressure and fuel filter; Test fuel injectors for clogging,General engine/fuel system area
