code,brand,title,affectedPart,severity,problem,symptoms,actions,location
P1502,yamaha,Inclination Sensor / Lean Angle Error,Tilt Sensor,critical,Vehicle tilt/inclination sensor detects vehicle has fallen or is mounted incorrectly.,Engine cuts out instantly; Fuel pump will not prime; Bike won't start,Check if sensor is mounted upright; Inspect connector for moisture; Verify 5V supply and ground; Reset ignition switch,Under the seat or near the battery
P1602,yamaha,ECU Power Supply Circuit Malfunction,ECU / Battery Supply,critical,ECU detects unstable or interrupted main power supply voltage.,Engine stalling; Instrument cluster resets; Hard starting; Multiple random sensor codes,Check main battery terminals for tightness; Verify main fuse; Check ground connections; Test battery voltage under load,Near battery or main starter relay
P1604,yamaha,Start Ability Malfunction / Delay,Starter / Fuel System,warning,Engine fails to start within the expected number of cranks under standard conditions.,Long cranking before starting; Failed start attempts; Rough initial idle,Check fuel pump pressure; Inspect spark plug condition; Verify starter motor health; Check battery cranking amps,Engine / starter motor assembly
P1606,yamaha,Engine RPM Signal Processing Failure,Crankshaft Sensor / ECU,critical,Internal ECU fault in processing the engine RPM signal from the crankshaft sensor.,Erratic RPM reading on tachometer; Stalling; Fuel cut-off; Rev limiter activates early,Inspect crankshaft sensor wiring; Clean stator area from metal particles; Check ECU pins; Test crankshaft sensor resistance,Left side engine stator cover
P0351,bajaj,Primary Spark Plug / Coil 'A' Malfunction,Ignition Coil A,critical,Fault detected in the primary ignition coil circuit (often Coil A in twin/triple spark engines).,Engine misfire; Loss of power; Hard starting; Single-spark operation only,Check Coil A connector; Measure primary winding resistance (0.5-3 ohms); Verify HT lead is secure; Swap coils to test,Under fuel tank or near cylinder head
P0352,bajaj,Secondary Spark Plug / Coil 'B' Malfunction,Ignition Coil B,critical,Fault detected in the secondary ignition coil circuit (Coil B on DTS-i twin spark engines).,Reduced power at high RPM; Slight misfire; Decreased fuel economy; Engine runs rough,Measure Coil B resistance; Check wiring harness from ECU to Coil B; Inspect spark plug B for carbon soot,Under fuel tank or right side of cylinder
P0353,bajaj,Auxiliary Spark Plug / Coil 'C' Malfunction,Ignition Coil C,critical,Fault in the third ignition coil circuit (Coil C on DTS-i Triple Spark engines like NS200/RS200).,Marginal drop in throttle response; Increased emissions; Rough idle,Measure Coil C resistance; Verify ECU triggering pulse; Inspect spark plug C gap,Under fuel tank or left side of cylinder
P0230,bajaj,Fuel Pump Relay Circuit Malfunction,Fuel Pump Relay,critical,ECU detects open circuit or short to ground in the fuel pump relay control line.,Engine cranks but does not start; No priming sound when ignition is turned on,Listen for pump prime; Test fuel pump relay for click; Check fuel pump fuse; Measure voltage at pump connector,Under the seat near the main fuse box
P0505,bajaj,Idle Air Control System Malfunction,IAC Valve / Stepper Motor,warning,The Idle Air Control Valve (IACV) is unable to maintain the target idle speed.,High idle speed; Idle speed hunting (fluctuating); Engine stalling at traffic lights,Clean IAC valve plunger and passage; Check for intake manifold air leaks; Verify throttle cable slack; Replace IAC valve,Mounted on top of the throttle body
P0102,tvs,MAF Sensor Circuit Low Input,Mass Air Flow Sensor,warning,The Mass Air Flow sensor signal voltage is below the minimum operational range.,Rich running; Black smoke from exhaust; Hesitation on acceleration; Poor fuel economy,Check MAF connector for corrosion; Clean MAF sensor element with electronic spray; Verify 5V reference; Inspect air filter,Air filter housing or intake duct
P0103,tvs,MAF Sensor Circuit High Input,Mass Air Flow Sensor,warning,The Mass Air Flow sensor signal voltage is above the maximum operational range.,Lean running; Engine hesitation; High idle; Hard starting when warm,Check for wiring harness short to 12V; Test sensor signal output; Inspect for intake leaks after MAF; Replace MAF sensor,Air filter housing or intake duct
P0500,tvs,Vehicle Speed Sensor Circuit Failure,Speed Sensor (VSS),info,No speed signal received by the ECU from the wheel speed sensor.,Speedometer displays 0 or behaves erratically; ABS light stays on; Gear indicator incorrect,Clean sensor tip and tone ring of metal dust/dirt; Check sensor air gap; Verify wiring connection to instrument cluster,Front fork caliper mount or rear wheel hub
P0122,tvs,Throttle Position Sensor Circuit Low,TPS Sensor,warning,The voltage from the TPS is lower than the expected closed-throttle baseline.,Poor throttle response; Stalling when opening throttle; Jerking at low speeds,Verify 5V reference to TPS; Adjust TPS position; Check connector pins; Replace TPS if resistance is erratic,Side of throttle body assembly
P0201,ktm,Fuel Injector Circuit Open - Cylinder 1,Fuel Injector,critical,The fuel injector electrical circuit has an open circuit (no current flowing).,Engine misfire; Bike will not start; Starter motor turns over but engine doesn't fire,Check injector harness connector; Measure injector coil resistance (11-16 ohms); Test ECU injector drive signal; Clean injector,Under fuel tank on the intake runner
P0113,ktm,Intake Air Temperature Sensor Circuit High,IAT Sensor,warning,The IAT sensor voltage is above the normal range (indicating an open circuit or unplugged sensor).,Engine runs rich; Poor fuel economy; Misfire during warm-up; Hard starting,Verify IAT sensor is plugged in; Check wiring for open circuit; Test IAT resistance (approx 2k ohms at room temp); Replace IAT,Inside the airbox assembly
P0335,ktm,Crankshaft Position Sensor Circuit Malfunction,CKP Sensor,critical,ECU does not receive a pulse signal from the crankshaft position (pick-up) sensor.,Engine cranks but will not start; No spark at spark plug; Fuel pump runs but no ignition,Test pick-up coil resistance (typically 200-400 ohms); Clean stator magnet and pick-up sensor; Check wiring harness,Left engine stator cover assembly
P0130,royalenfield,O2 Sensor Circuit Malfunction (Bank 1),Oxygen / Lambda Sensor,warning,The O2 sensor signal voltage is missing, sluggish, or stuck outside normal limits.,Poor fuel economy; Black carbon on exhaust; Sluggish throttle; Check engine light on,Check O2 sensor wiring for burns/rubs on exhaust; Clean carbon off sensor tip; Check for exhaust leaks; Replace O2 sensor,Exhaust header pipe close to cylinder head
P0135,royalenfield,O2 Sensor Heater Circuit Malfunction,O2 Sensor Heater,warning,The internal heating element of the oxygen sensor has a circuit failure (open/short).,Engine takes long time to warm up; High emissions; Increased fuel usage on short trips,Measure heater coil resistance across heater pins; Check for 12V supply to heater relay; Replace O2 sensor,Exhaust header pipe close to cylinder head
P0190,royalenfield,Fuel Rail Pressure Sensor Malfunction,Fuel Pressure Sensor,critical,ECU receives an invalid pressure reading from the fuel delivery system sensor.,Engine stalling; Loss of power; Hard starting; Engine cuts out under acceleration,Check fuel line connections; Test fuel pump pressure; Inspect pressure sensor connector; Verify fuel filter is clean,Inside the fuel pump module or fuel rail
P0106,honda,MAP Sensor Range/Performance Issue,MAP Sensor,warning,The Manifold Absolute Pressure sensor reading is out of expected limits relative to throttle angle.,Engine hesitation; Stalling; Fuel air mixture rich or lean; Backfiring,Inspect MAP sensor vacuum hose for cracks or blocks; Check for manifold vacuum leaks; Clean sensor port,Throttle body or intake manifold
P0420,honda,Catalyst System Efficiency Below Threshold,Catalytic Converter,info,The catalytic converter is not reducing exhaust emissions within the required limits.,Check engine light illuminated; Metallic rattling noise from exhaust; No noticeable performance drop,Check for exhaust leaks before catalytic converter; Inspect O2 sensors; Avoid low quality fuel; Replace catalytic converter,Exhaust pipe silencer assembly
P0505,honda,Idle Air Control System Fault,IACV / Stepper Motor,warning,The Idle Air Control Valve cannot regulate the bypass air to achieve target idle.,Fluctuating idle speed; Engine stalls when coming to a stop; Low idle when cold,Clean carbon build-up in throttle body and IACV passages; Check connector for corrosion; Perform IACV reset procedure,Attached to the side of the throttle body
P0117,ktm,Engine Coolant Temperature Sensor Low,ECT Sensor,warning,The ECT sensor signal is shorted to ground or reporting excessively high temperatures.,Engine temp indicator flashing hot; Radiator fan runs continuously; Engine runs rich,Verify coolant level; Test ECT sensor resistance; Check harness for short to ground; Replace ECT sensor,Cylinder head or near thermostat housing
P0118,ktm,Engine Coolant Temperature Sensor High,ECT Sensor,warning,The ECT sensor signal is open circuit or reporting excessively cold temperatures.,Engine temp indicator reads cold; Radiator fan does not turn on; Hard starting when hot,Verify connector is secure; Test sensor resistance; Inspect wiring for open circuit; Replace ECT sensor,Cylinder head or near thermostat housing
P0340,suzuki,Camshaft Position Sensor Circuit Malfunction,CMP Sensor,critical,The ECU is not receiving a signal from the camshaft position sensor.,Hard starting; Stalling; Erratic engine performance; Misfires,Check CMP sensor wiring and connector; Measure sensor output voltage during cranking; Replace CMP sensor,Top cylinder head valve cover
P0562,kawasaki,System Voltage Low / Charging Fault,Battery / Stator,warning,ECU detects battery voltage has dropped below the threshold for reliable operations.,Dim lights; Speedometer resetting; ABS system disabled; Hard starting,Test battery voltage (12.6V rest, 14V running); Check voltage regulator/rectifier; Inspect stator coil output,Battery tray / frame-mounted rectifier
P0122,hero,Throttle Position Sensor Circuit Low Voltage,TPS Sensor,warning,TPS sensor signal is lower than the calibration threshold for closed throttle.,Engine hesitates when accelerating; Stalling; Erratic idle,Verify TPS connector is dry; Adjust TPS base voltage; Replace TPS if resistance sweep is non-linear,Side of throttle body
