code,brand,title,affectedPart,severity,problem,symptoms,actions,location
11,yamaha,Cylinder Identification Sensor Error,Cylinder ID Sensor,warning,Open or short circuit detected in the Cylinder Identification sensor.,Erratic spark timing; Engine hard starting; Sluggish power,Verify sensor wiring connection; Measure sensor resistance; Inspect cam wheel teeth; Replace sensor,Top engine valve cover area
12,yamaha,Crankshaft Position Sensor Error,Crankshaft Position Sensor,critical,No normal signal received from the crankshaft position sensor (pickup coil).,Engine cranks but will not start; No spark at spark plug; Fuel pump runs but no ignition,Test pick-up coil resistance (200-400 ohms); Clean stator magnet and pick-up sensor; Check wiring harness and connector,Left engine stator cover assembly
13,yamaha,Intake Air Pressure Sensor Open/Short,MAP Sensor,warning,Open or short circuit detected in the intake air pressure (MAP) sensor circuit.,Engine hard starting; Rough idling; Black smoke from exhaust; High fuel usage,Verify MAP sensor connector is dry; Check 5V reference voltage; Measure sensor output voltage at idle; Inspect vacuum line,Throttle body or intake manifold
14,yamaha,Intake Air Pressure Hose Malfunction,MAP Sensor Vacuum Hose,warning,MAP sensor vacuum hose is clogged, detached, or leaking air.,Erratic idle speed; Stalling; Fuel mixture rich; Engine hesitation,Check vacuum hose connection to throttle body; Clean hose blockage; Replace cracked hose,Connecting MAP sensor to throttle body
15,yamaha,Throttle Position Sensor Open/Short,TPS Sensor,warning,Open or short circuit detected in the throttle position sensor (TPS) circuit.,Engine hesitates when opening throttle; Jerking at low speeds; Stalling at idle,Verify TPS connector is secure; Verify 5V reference supply; Measure TPS resistance sweep; Adjust or replace TPS,Right side of the throttle body
16,yamaha,Throttle Position Sensor Stuck,TPS Sensor,warning,Throttle Position Sensor (TPS) signal does not change or is stuck in position.,Engine speed does not increase; Stalling during throttle opening; Check engine light,Check for mechanical throttle linkage binding; Verify TPS shaft rotation; Check voltage change during throttle twist,Right side of the throttle body
19,yamaha,Sidestand Switch Circuit Fault,Sidestand Switch,critical,Open circuit or disconnected lead detected in the sidestand switch line.,Engine cuts out instantly when putting bike in gear; Engine won't crank with stand down,Inspect sidestand switch and spring; Clean switch contacts with contact cleaner; Check connector behind side panel; Replace switch,Near side stand pivot mount
20,yamaha,MAP and Atmospheric Pressure Sensor correlation,Pressure Sensors,warning,ECU detects mismatch between MAP sensor and Atmospheric Pressure sensor.,Rough engine running; Sluggish acceleration; High fuel consumption; MIL on,Check vacuum hoses on both sensors; Verify sensors connector and harness integrity; Measure voltage outputs at atmospheric pressure,Inside intake or under fuel tank
21,yamaha,Coolant Temperature Sensor Open/Short,ECT Sensor,warning,Open or short circuit detected in the engine coolant temperature (ECT) sensor circuit.,Engine temperature gauge blinking/max; Radiator fan runs continuously or not at all; Rich startup running,Verify coolant level; Test ECT sensor resistance (cold vs hot); Check connector pin corrosion; Replace ECT sensor,Cylinder head or near thermostat housing
22,yamaha,Intake Air Temperature Sensor Open/Short,IAT Sensor,warning,Open or short circuit detected in the intake air temperature (IAT) sensor circuit.,Slight loss of engine power; Black smoke under load; Hesitation on acceleration,Check IAT connector; Verify sensor resistance (approx 2k ohms at room temp); Check wiring harness,Inside or on the air filter box
23,yamaha,Atmospheric Pressure Sensor Open/Short,Atmospheric Sensor,warning,Open or short circuit detected in the atmospheric pressure sensor circuit.,Slight flat spot in mid-RPM; Poor high altitude performance; Rich air-fuel mixture,Verify sensor connector; Measure sensor output voltage (should vary with altitude); Check harness wires,Under the seat or near battery
24,yamaha,O2 Sensor Circuit Malfunction / Sluggish,Oxygen / Lambda Sensor,warning,ECU detects no signal or sluggish response from the O2 / Lambda sensor.,Poor fuel economy; Black carbon on exhaust; Sluggish throttle; Check engine light on,Check O2 sensor wiring for burns/rubs on exhaust; Clean carbon off sensor tip; Check for exhaust leaks; Replace O2 sensor,Exhaust header pipe close to cylinder head
28,yamaha,Engine Temperature Sensor Error,Engine Temp Sensor (Head),warning,Open or short circuit in engine cylinder head temperature sensor (air cooled models).,Engine runs rich on warm-up; Sluggish response; Cylinder head overheating,Check sensor connector; Test sensor resistance under different temperatures; Inspect sensor wiring harness,Screw-in sensor on the cylinder block/head
30,yamaha,Lean Angle Sensor Latch-Up,Lean Angle / Tilt Sensor,critical,Lean angle sensor detects vehicle has fallen or is tilted beyond safe limit (latch-up).,Engine cuts out instantly; Fuel pump will not prime; Vehicle will not restart,Set motorcycle fully upright; Reset ignition switch (turn key OFF then ON); Check sensor mounting position,Under the seat or near the battery
33,yamaha,Ignition Coil Primary Circuit Malfunction (Cyl 1),Ignition Coil 1,critical,Open or short circuit detected in the primary lead of the ignition coil for Cylinder 1.,Engine misfire; Hard starting; Complete loss of spark; Engine backfiring,Check ignition coil primary resistance (0.5-3 ohms); Verify HT lead is secure; Check wire harness from ECU to coil,Under fuel tank near spark plug 1
34,yamaha,Ignition Coil Primary Circuit Malfunction (Cyl 2),Ignition Coil 2,critical,Open or short circuit in primary lead of ignition coil 2 (multi-cylinder models).,Misfire on cylinder 2; Rough running; Loss of power,Check coil 2 primary and secondary resistance; Verify harness to ECU; Swap coils to test,Under fuel tank near spark plug 2
35,yamaha,Ignition Coil Primary Circuit Malfunction (Cyl 3),Ignition Coil 3,critical,Open or short circuit in primary lead of ignition coil 3 (multi-cylinder models).,Misfire on cylinder 3; Rough running; Loss of power,Check coil 3 primary and secondary resistance; Verify harness to ECU; Swap coils to test,Under fuel tank near spark plug 3
36,yamaha,Ignition Coil Primary Circuit Malfunction (Cyl 4),Ignition Coil 4,critical,Open or short circuit in primary lead of ignition coil 4 (multi-cylinder models).,Misfire on cylinder 4; Rough running; Loss of power,Check coil 4 primary and secondary resistance; Verify harness to ECU; Swap coils to test,Under fuel tank near spark plug 4
37,yamaha,Idle Speed Control (ISC) Malfunction,ISC Valve / Stepper Motor,warning,The Idle Speed Control system is unable to maintain the calibrated target idle speed.,High idle speed; Idle speed hunting (fluctuating); Engine stalling at stops,Clean carbon build-up in throttle body and ISC bypass; Check ISC electrical connector; Perform ISC reset,Mounted on the throttle body
38,yamaha,Decompression Solenoid Open/Short,Decompression Solenoid,warning,Open or short circuit in the automatic decompression solenoid valve.,Hard engine cranking; High battery load during starting; Starter motor binding,Check solenoid valve connector; Measure solenoid internal coil resistance; Check for mechanical stickiness,Cylinder head valve train area
39,yamaha,Fuel Injector Open/Short Circuit (Cyl 1),Fuel Injector 1,critical,Open or short circuit detected in the fuel injector electrical circuit for Cylinder 1.,Engine cranks but does not start; Spark exists but no fuel; Spark plug remains completely dry,Check injector connector; Measure injector coil resistance (11-16 ohms); Verify ECU pulsing signal; Replace injector,Attached to the throttle body runner
40,yamaha,Secondary Throttle Position Sensor Error,Sub-TPS Sensor,warning,Open or short circuit in secondary throttle position sensor (sub-TPS) circuit.,Lumpy throttle response; Delayed acceleration; Revs hanging,Verify sub-TPS connector is tight; Check signal sweep with multimeter; Calibrate sub-TPS position,Side of throttle body assembly
41,yamaha,Lean Angle Sensor Open/Short,Lean Angle / Tilt Sensor,warning,Open or short circuit detected in the lean angle sensor circuit.,Tilt safety system inactive; Fault lamp stays illuminated,Check sensor connector; Test sensor output voltage; Inspect wiring harness for rub points,Under the seat or near the battery
42,yamaha,Speed Sensor / Clutch Switch Error,Speedometer / Clutch Switch,info,No speed signal or clutch switch signal received by the ECU.,Speedometer displays 0 or behaves erratically; Starter will not crank in gear with clutch pulled,Clean speed sensor tip and tone ring; Check clutch switch continuity when lever is pulled; Check wiring harness,Rear wheel hub or left handlebar switch
43,yamaha,Fuel System Voltage Fault,Fuel Pump Power Circuit,critical,Incorrect or unstable voltage supplied to the fuel pump or injector circuit.,Engine cranks but won't start; Stalling under load; Poor fuel pressure,Check fuel pump relay and main fuse; Measure voltage at pump connector (should match battery); Check system grounding,Under seat or in main wiring harness
44,yamaha,EEPROM Read/Write Error,ECU / Engine Control Unit,critical,An internal error occurred while reading or writing to the ECU memory.,Erratic engine behavior; Multiple sensor codes; Fault light illuminated,Disconnect battery for 10 minutes to reset; Verify battery voltage; Replace ECU if error persists,Under the seat or behind fairing
46,yamaha,Power Supply / Charging Fault,Battery / Stator / Regulator,warning,Charging voltage supplied to the system is abnormal (too low or too high).,Dim dashboard lights; Speedometer resetting; ABS disabled; Weak starting,Test battery voltage (12.6V rest, 14V running); Test regulator/rectifier output; Check stator coil resistance,Under seat (rectifier on frame)
47,yamaha,Fuel Injector Open/Short Circuit (Cyl 2),Fuel Injector 2,critical,Open or short circuit in fuel injector circuit 2 (multi-cylinder models).,Engine runs on one cylinder; Misfire; Loss of power; Running rough,Test injector 2 coil resistance (11-16 ohms); Verify wiring connections; Test ECU injector pulse,Attached to the throttle body runner
48,yamaha,Air Plug / Sub-Throttle Actuator Malfunction,Sub-Throttle Actuator,warning,Open or short circuit in air plug or secondary throttle actuator control circuit.,Engine hesitation; Stalling; Sudden lack of top-end power,Inspect sub-throttle servo motor connector; Test actuator resistance; Verify butterfly valve moves smoothly,On the side of the throttle body
50,yamaha,ECU Memory Malfunction,ECU / Engine Control Unit,critical,Internal RAM or ROM memory failure detected in the engine control unit.,Vehicle will not start; Complete lack of response; Fault light stays on,Test battery voltage; Check main ECU grounds; Replace ECU if internal fault persists,Under the seat or main wiring harness
59,yamaha,Electronic Throttle Valve Servo Motor Error,ETV Servo Motor,critical,Open or short circuit in the Electronic Throttle Valve (ETV) motor circuit.,Engine goes into limp home mode; No response from throttle twist; Idle holds high,Check throttle valve actuator connector; Check wiring harness; Test servo motor internal winding,Attached to throttle body
60,yamaha,YCC-T System Actuator Error,YCC-T System,critical,Yamaha Chip Controlled Throttle (YCC-T) system detects actuator movement error.,Engine enters safety mode; Throttle response extremely slow or non-responsive; MIL light on,Check throttle body clean status (remove carbon sticky); Verify return springs; Check throttle cables,Throttle body assembly
70,yamaha,Idling Stop System Malfunction,Idling Stop (SGCU),warning,A malfunction was detected in the automatic idling stop (Stop-Start) system.,Stop-Start system inactive; Warning indicator blinking on dashboard,Verify battery charge status; Check handlebar switch; Verify engine is up to operating temp; Check SGCU connector,Main frame / front shield area
79,yamaha,Idle Stop Starter Motor Warning,SGCU / Starter,warning,Abnormal current or signal detected when restarting engine via Idle Stop system.,Engine fails to restart from idle stop; Dashboard warning light flashing,Verify starter generator brushes; Test battery power under load; Check starter relay circuit,Near battery or starter generator
84,yamaha,Engine Oil Temperature / Pressure Switch Error,Oil Pressure Sensor,critical,ECU detects low oil pressure or oil temperature sensor circuit failure.,Oil warning light on; Engine enters engine-protection mode (power reduction),Verify engine oil level immediately; Check oil pressure switch wiring; Verify sensor resistance,Bottom engine crankcase area
