code,title,affectedPart,severity,problem,symptoms,actions,location
P0105,Manifold Absolute Pressure (MAP) Circuit,MAP Sensor,warning,"The Engine Control Unit (ECU) has detected a general malfunction in the Manifold Absolute Pressure sensor circuit, indicating an electrical fault or out-of-range signal.",Poor engine performance; Reduced fuel efficiency; Check Engine Light (CEL) illuminated,Check MAP sensor wiring for damage; Clean MAP sensor port; Test MAP sensor output,Located on the intake manifold, typically near the throttle body.
P0107,MAP Sensor Circuit Low Input,MAP Sensor,warning,"The MAP sensor is sending a voltage signal to the ECU that is lower than expected, usually indicating a short circuit or sensor failure.",Rough idle; Engine stall; Reduced power,Inspect MAP sensor wiring for shorts; Verify sensor voltage with a multimeter; Replace MAP sensor,Located on the intake manifold, typically near the throttle body.
P0108,MAP Sensor Circuit High Input,MAP Sensor,warning,"The MAP sensor is sending a voltage signal to the ECU that is higher than expected, suggesting an open circuit, short to voltage, or sensor failure.",Hesitation on acceleration; Poor fuel economy; CEL illuminated,Check MAP sensor wiring for opens or shorts to power; Test sensor resistance; Replace MAP sensor,Located on the intake manifold, typically near the throttle body.
P0113,Intake Air Temperature (IAT) Sensor High Input,IAT Sensor,warning,"The IAT sensor is reporting an abnormally high temperature to the ECU, often due to an open circuit or faulty sensor, leading to incorrect fuel mixture calculations.",Hard starting in cold weather; Poor fuel economy; Engine running rich,Inspect IAT sensor wiring for open circuits; Test sensor resistance at various temperatures; Replace IAT sensor,Located in the airbox or intake tract.
P0118,Engine Coolant Temperature (ECT) Sensor High Input,ECT Sensor,warning,"The ECT sensor is sending an abnormally high temperature signal to the ECU, indicating an open circuit, short to voltage, or sensor failure.",Overheating indications without actual overheat; Poor cold start; Incorrect fan operation,Check ECT sensor wiring for opens or shorts to power; Test sensor resistance; Replace ECT sensor,Located on the cylinder head or coolant passage.
P0122,Throttle Position Sensor (TPS) A Low Input,TPS Sensor,critical,"The primary Throttle Position Sensor (TPS A) is sending a voltage signal lower than the acceptable range, potentially due to a short circuit or sensor fault, affecting throttle response.",Engine power loss; Erratic idle; Throttle unresponsive,Inspect TPS wiring for shorts; Calibrate TPS if adjustable; Replace TPS sensor,Attached to the throttle body.
P0123,Throttle Position Sensor (TPS) A High Input,TPS Sensor,critical,"The primary Throttle Position Sensor (TPS A) is sending a voltage signal higher than the acceptable range, often due to an open circuit or sensor fault, leading to unpredictable throttle behavior.",High idle; Unintended acceleration; CEL illuminated,Check TPS wiring for opens or shorts to power; Verify TPS voltage range; Replace TPS sensor,Attached to the throttle body.
P0130,O2 Sensor Circuit Malfunction (Bank 1 Sensor 1),O2 Sensor (Pre-cat),warning,"The ECU has detected an electrical fault in the pre-catalyst oxygen sensor circuit, meaning the sensor is not providing valid data, impacting fuel trim adjustments.",Increased fuel consumption; Poor engine performance; CEL illuminated,Inspect O2 sensor wiring for damage; Check O2 sensor connector; Replace O2 sensor,Located in the exhaust header, before the catalytic converter.
P0135,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1),O2 Sensor Heater,warning,"The heater element within the pre-catalyst oxygen sensor is not functioning correctly, preventing the sensor from reaching operating temperature quickly, affecting emissions and fuel control.",Delayed closed-loop operation; Higher emissions; CEL illuminated,Check O2 sensor heater fuse; Test O2 sensor heater resistance; Replace O2 sensor,Located in the exhaust header, before the catalytic converter.
P0171,System Too Lean (Bank 1),Fuel System/Vacuum Leak,warning,"The ECU detects that the engine is running with too much air or not enough fuel for the commanded conditions, leading to an overly lean air-fuel mixture.",Rough idle; Loss of power; Engine hesitation,Check for vacuum leaks in intake system; Inspect fuel pressure and injectors; Clean or replace mass air flow (MAF) sensor (if applicable),Engine compartment, intake manifold, fuel rail.
P0172,System Too Rich (Bank 1),Fuel System/Sensor,warning,"The ECU detects that the engine is running with too much fuel or not enough air, resulting in an overly rich air-fuel mixture.",Poor fuel economy; Black smoke from exhaust; Strong fuel odor,Check fuel pressure regulator; Inspect fuel injectors for leaks; Test O2 sensor and ECT sensor,Engine compartment, fuel rail, exhaust.
P0201,Injector Circuit/Open - Cylinder 1,Fuel Injector,critical,"The ECU has detected an open circuit or electrical malfunction in the fuel injector circuit for cylinder 1, meaning the injector is not firing correctly or at all.",Engine misfire; Rough running; Loss of power,Check injector wiring for damage; Test injector resistance; Replace fuel injector,Located in the intake manifold for Cylinder 1.
P0202,Injector Circuit/Open - Cylinder 2,Fuel Injector,critical,"The ECU has detected an open circuit or electrical malfunction in the fuel injector circuit for cylinder 2, meaning the injector is not firing correctly or at all.",Engine misfire; Rough running; Loss of power,Check injector wiring for damage; Test injector resistance; Replace fuel injector,Located in the intake manifold for Cylinder 2 (for twin-cylinder models).
P0261,Injector Circuit Low - Cylinder 1,Fuel Injector,warning,"The voltage in the fuel injector circuit for cylinder 1 is lower than specified, indicating a short to ground or faulty injector driver.",Engine misfire; Reduced power; Increased emissions,Inspect injector wiring for shorts to ground; Check ECU injector driver; Replace fuel injector,Located in the intake manifold for Cylinder 1.
P0264,Injector Circuit Low - Cylinder 2,Fuel Injector,warning,"The voltage in the fuel injector circuit for cylinder 2 is lower than specified, indicating a short to ground or faulty injector driver.",Engine misfire; Reduced power; Increased emissions,Inspect injector wiring for shorts to ground; Check ECU injector driver; Replace fuel injector,Located in the intake manifold for Cylinder 2 (for twin-cylinder models).
P0335,Crankshaft Position Sensor A Circuit,Crankshaft Position Sensor (CKP),critical,"The ECU is not receiving a valid signal from the crankshaft position sensor, which is essential for engine timing and RPM, often causing a no-start condition.",No start; Engine cranking but not firing; Erratic RPM readings,Check CKP sensor wiring for damage; Test CKP sensor resistance; Replace CKP sensor,Located near the crankshaft, typically on the engine case.
P0340,Camshaft Position Sensor A Circuit,Camshaft Position Sensor (CMP),critical,"The ECU is not receiving a valid signal from the camshaft position sensor, affecting valve timing and ignition sync, potentially causing starting issues or poor performance.",Hard starting; Engine stalls; Reduced engine power,Check CMP sensor wiring for damage; Test CMP sensor resistance; Replace CMP sensor,Located near the camshaft, often on the cylinder head.
P0351,Ignition Coil A Primary/Secondary Circuit (Cylinder 1),Ignition Coil,critical,"The ECU has detected an electrical fault in the primary or secondary circuit of the ignition coil for cylinder 1, leading to a lack of spark.",Engine misfire; Rough idle; Loss of power,Inspect coil wiring for damage; Test ignition coil resistance; Replace ignition coil,Located on top of the spark plug for Cylinder 1.
P0352,Ignition Coil B Primary/Secondary Circuit (Cylinder 2),Ignition Coil,critical,"The ECU has detected an electrical fault in the primary or secondary circuit of the ignition coil for cylinder 2, leading to a lack of spark.",Engine misfire; Rough idle; Loss of power,Inspect coil wiring for damage; Test ignition coil resistance; Replace ignition coil,Located on top of the spark plug for Cylinder 2 (for twin-cylinder models).
P0443,EVAP Purge Control Valve Circuit,EVAP Purge Valve,warning,"An electrical malfunction has been detected in the circuit controlling the EVAP (Evaporative Emission Control System) purge valve, which manages fuel vapor flow.",Increased emissions; Poor fuel economy; CEL illuminated,Check EVAP purge valve wiring; Test purge valve solenoid; Replace EVAP purge valve,Mounted on or near the intake manifold, connected to the EVAP canister.
P0500,Vehicle Speed Sensor A Malfunction,Vehicle Speed Sensor (VSS),warning,"The ECU is not receiving a valid signal from the vehicle speed sensor, impacting speedometer, cruise control, and shifting (if applicable).",Inaccurate speedometer; Cruise control inoperative; Incorrect gear shifting (if applicable),Inspect VSS wiring for damage; Clean VSS sensor; Replace VSS sensor,Typically located on the transmission output shaft or wheel hub.
P0505,Idle Control System RPM Malfunction,Idle Air Control (IAC) Valve/Throttle Body,warning,"The engine's idle speed is not being controlled correctly by the ECU, potentially due to a faulty IAC valve or a dirty/damaged throttle body.",High idle; Low idle; Engine stalls at idle,Clean throttle body and IAC passage; Inspect IAC valve wiring; Replace IAC valve or throttle body,Part of the throttle body assembly.
P0560,System Voltage Malfunction,Battery/Charging System,critical,"The ECU has detected an abnormal voltage reading from the vehicle's electrical system, indicating a general problem with power supply.",Dim lights; Electrical component malfunction; Hard starting,Check battery terminals and charge; Test alternator output; Inspect main fuses,Battery compartment, alternator, main wiring harness.
P0562,System Voltage Low,Battery/Charging System,critical,"The ECU detects that the system voltage is consistently below the normal operating range, often pointing to a weak battery or charging system issue.",Engine cranking slowly; Dim headlights; Electronic components failing,Check battery voltage and condition; Inspect alternator output; Test voltage regulator,Battery compartment, alternator, voltage regulator.
P0563,System Voltage High,Battery/Charging System,critical,"The ECU detects that the system voltage is consistently above the normal operating range, indicating a potential overcharging issue, which can damage electronics.",Bulbs burning out frequently; Electronics behaving erratically; Battery swelling,Test voltage regulator output; Inspect alternator; Check for wiring shorts to power,Battery compartment, alternator, voltage regulator.
P0601,Internal Control Module Memory Check Sum Error,Engine Control Unit (ECU),critical,"An internal error has occurred within the ECU's memory, indicating a potential corruption of its software or data, often requiring ECU replacement.",No start; Engine running erratically; Multiple unrelated fault codes,Attempt ECU reflash (if possible); Check ECU power/ground; Replace ECU,Under the seat or in the fairing, main engine control unit.
P0604,Internal Control Module RAM Error,Engine Control Unit (ECU),critical,"An error has been detected in the ECU's Random Access Memory (RAM), which stores temporary data, suggesting an internal hardware fault.",Engine stalling; Intermittent starting; Unpredictable engine behavior,Check ECU power and ground connections; Inspect for moisture intrusion in ECU; Replace ECU,Under the seat or in the fairing, main engine control unit.
P0605,Internal Control Module ROM Error,Engine Control Unit (ECU),critical,"An error has been detected in the ECU's Read Only Memory (ROM), where the main operating program is stored, indicating a critical internal hardware or software fault.",No start; Engine fails to run; Complete loss of engine control,Check ECU power and ground; Attempt ECU reflash if applicable; Replace ECU,Under the seat or in the fairing, main engine control unit.
P0650,MIL Control Circuit Malfunction,Malfunction Indicator Lamp (MIL) / Dash,warning,"The ECU has detected a fault in the circuit that controls the Malfunction Indicator Lamp (Check Engine Light) on the dashboard.",Check Engine Light not illuminating; Check Engine Light constantly on (without other codes); Failure to pass inspection,Check MIL bulb/LED; Inspect MIL control circuit wiring; Test instrument cluster,Instrument cluster on the dashboard.
F.12,Fuel Pump Relay Fault,Fuel Pump Relay,critical,"The KTM ECU detects an open or short in the fuel pump relay circuit, preventing the fuel pump from operating or operating intermittently.",Engine no-start; Engine stalling; Fuel pump not priming,Check fuel pump relay fuse; Test fuel pump relay for clicks; Inspect wiring to fuel pump relay,Typically located in the fuse box or near the battery.
F.15,Engine Temperature Sensor Fault,Engine Coolant Temperature (ECT) Sensor,warning,"The KTM ECU detects an invalid signal from the engine temperature sensor, leading to incorrect fuel maps and cooling fan operation.",Engine running rich/lean; Cooling fan running constantly or not at all; Hard starting,Check ECT sensor wiring; Test ECT sensor resistance; Replace ECT sensor,Located on the cylinder head or coolant passage.
F.18,Clutch Switch Fault,Clutch Switch,warning,"The KTM ECU detects an open or short in the clutch switch circuit, which is used for starting interlocks and quickshifter functionality.",Engine won't start in gear; Quickshifter not working; Cruise control issues,Inspect clutch switch wiring; Adjust clutch lever free play; Replace clutch switch,Mounted on the clutch lever assembly.
F.20,Sidestand Switch Fault,Sidestand Switch,critical,"The KTM ECU detects an open or short in the sidestand switch circuit, which is a safety interlock to prevent riding with the sidestand down.",Engine stalls when in gear; Engine won't start; Difficult shifting,Inspect sidestand switch wiring for damage; Clean sidestand switch; Replace sidestand switch,Mounted on the sidestand assembly.
C1101,Front Wheel Speed Sensor Malfunction,Front Wheel Speed Sensor (ABS),critical,"The ABS control module is not receiving a valid speed signal from the front wheel speed sensor, affecting ABS and potentially traction control.",ABS light on; Traction control light on; Loss of ABS function,Inspect sensor wiring for damage; Clean sensor and tone ring; Replace front wheel speed sensor,Located on the front wheel axle/fork, near the brake rotor.
C1102,Rear Wheel Speed Sensor Malfunction,Rear Wheel Speed Sensor (ABS),critical,"The ABS control module is not receiving a valid speed signal from the rear wheel speed sensor, affecting ABS and potentially traction control.",ABS light on; Traction control light on; Loss of ABS function,Inspect sensor wiring for damage; Clean sensor and tone ring; Replace rear wheel speed sensor,Located on the rear wheel axle/swingarm, near the brake rotor.
C1111,ABS Pump Motor Fault,ABS Modulator Unit,critical,"The ABS control module has detected an internal fault with its pump motor, which is responsible for modulating brake pressure during ABS activation.",ABS light on; Brake pedal pulsation (false); Complete loss of ABS function,Check ABS fuse; Inspect wiring to ABS unit; Replace ABS modulator unit,Integrated into the ABS hydraulic control unit, often under the fuel tank or near the frame.
U0100,Lost Communication With ECM/PCM A,CAN Bus/Wiring,critical,"The instrument cluster or other control modules have lost communication with the main Engine Control Module (ECM) via the CAN bus, indicating a critical communication breakdown.",No start; No dash lights; Immobilizer active,Check CAN bus wiring for opens/shorts; Verify ECM power and ground; Inspect ECM for internal faults,Main wiring harness, ECM connectors.
U0121,Lost Communication With ABS Control Module,CAN Bus/Wiring,critical,"The main ECU or other control modules have lost communication with the ABS control module, leading to a loss of ABS and related safety features.",ABS light on; Traction control light on; No ABS function,Check CAN bus wiring to ABS module; Verify ABS module power/ground; Inspect ABS module,Main wiring harness, ABS module connectors.
P2100,Throttle Actuator Control Motor Circuit/Open,Throttle Actuator Control (TAC) Motor,critical,"The ECU has detected an open circuit or electrical fault in the motor that controls the throttle plate position (for ride-by-wire systems).",No throttle response; Engine limp mode; CEL illuminated,Check TAC motor wiring for opens; Test TAC motor resistance; Replace throttle body assembly,Part of the throttle body assembly.
P2101,Throttle Actuator Control Motor Circuit Range/Performance,Throttle Actuator Control (TAC) Motor,critical,"The ECU detects that the throttle actuator control motor is not operating within its expected range or performance parameters, indicating a mechanical or electrical issue.",Erratic throttle response; Engine limp mode; Unpredictable acceleration,Inspect throttle body for sticking; Check TAC motor wiring; Replace throttle body assembly,Part of the throttle body assembly.
P2106,Throttle Actuator Control System - Forced Limited Power,Throttle Actuator Control (TAC) System,critical,"The ECU has commanded the engine into a ""limp home"" mode due to a detected fault in the throttle actuator control system, significantly reducing power.",Severe power loss; Limited RPM; Engine warning light,Diagnose other related TPS/TAC codes; Inspect throttle body; Clear all throttle-related codes,Engine control system (ECU and throttle body).
P2122,Throttle Position Sensor D Circuit Low Input,Secondary TPS (TPS D),critical,"The secondary Throttle Position Sensor (TPS D) is sending a voltage signal lower than the acceptable range, often used as a redundant safety check for ride-by-wire systems.",Engine limp mode; Unresponsive throttle; CEL illuminated,Inspect TPS D wiring for shorts; Verify sensor voltage; Replace throttle body assembly,Attached to the throttle body, secondary sensor.
P2123,Throttle Position Sensor D Circuit High Input,Secondary TPS (TPS D),critical,"The secondary Throttle Position Sensor (TPS D) is sending a voltage signal higher than the acceptable range, often due to an open circuit or short to power.",Engine limp mode; Unresponsive throttle; CEL illuminated,Check TPS D wiring for opens or shorts to power; Verify sensor voltage; Replace throttle body assembly,Attached to the throttle body, secondary sensor.
