code,title,affectedPart,severity,problem,symptoms,actions,location
P0105,Manifold Absolute Pressure (MAP) Circuit Malfunction,MAP Sensor,critical,"The Engine Control Unit (ECU) detects an implausible signal from the MAP sensor, indicating a general circuit issue.","Engine hesitation; Poor acceleration; Increased fuel consumption",Check sensor wiring for damage or corrosion; Test MAP sensor output voltage; Replace MAP sensor if faulty,Usually mounted on or near the intake manifold.
P0107,MAP Sensor Circuit Low Input,MAP Sensor,critical,"The ECU receives a voltage signal from the MAP sensor that is lower than the expected operating range, often indicating a short to ground or faulty sensor.","Rough idle; Stalling; Lack of power",Inspect MAP sensor wiring for shorts; Verify vacuum line integrity; Replace MAP sensor,Usually mounted on or near the intake manifold.
P0108,MAP Sensor Circuit High Input,MAP Sensor,critical,"The ECU receives a voltage signal from the MAP sensor that is higher than the expected operating range, often indicating an open circuit or faulty sensor.","Poor acceleration; High fuel consumption; Engine runs rich",Check MAP sensor wiring for opens; Test MAP sensor resistance; Replace MAP sensor,Usually mounted on or near the intake manifold.
P0110,Intake Air Temperature (IAT) Sensor Circuit Malfunction,IAT Sensor,warning,"The ECU detects an abnormal signal from the IAT sensor, indicating a general circuit issue or incorrect air temperature reading.","Incorrect idle speed; Engine hard starting; Increased emissions",Check sensor wiring connections; Test IAT sensor resistance at various temperatures; Replace IAT sensor,Mounted in the intake tract, often integrated into the MAP sensor.
P0112,IAT Sensor Circuit Low Input,IAT Sensor,warning,"The ECU receives a voltage signal from the IAT sensor that is lower than expected, typically indicating a short circuit or faulty sensor reading cold air.","Rich fuel mixture; Reduced fuel economy; Black smoke from exhaust",Inspect IAT sensor wiring for shorts to ground; Verify sensor resistance; Replace IAT sensor,Mounted in the intake tract, often integrated into the MAP sensor.
P0113,IAT Sensor Circuit High Input,IAT Sensor,warning,"The ECU receives a voltage signal from the IAT sensor that is higher than expected, typically indicating an open circuit or faulty sensor reading hot air.","Lean fuel mixture; Engine hesitation; Overheating",Check IAT sensor wiring for opens; Verify sensor resistance; Replace IAT sensor,Mounted in the intake tract, often integrated into the MAP sensor.
P0115,Engine Coolant Temperature (ECT) Sensor Circuit Malfunction,ECT Sensor,warning,"The ECU detects an implausible signal from the ECT sensor, indicating a general circuit issue or incorrect engine temperature reading.","Hard starting; Poor fuel economy; Engine fan constantly running",Inspect sensor wiring for damage; Test ECT sensor resistance; Replace ECT sensor,Mounted on the cylinder head or engine block.
P0117,ECT Sensor Circuit Low Input,ECT Sensor,critical,"The ECU receives a voltage signal from the ECT sensor that is lower than expected, often indicating a short circuit or faulty sensor reading high temperature.","Engine overheating (false reading); Poor cold starting; Rich running",Check ECT sensor wiring for shorts; Verify sensor resistance; Replace ECT sensor,Mounted on the cylinder head or engine block.
P0118,ECT Sensor Circuit High Input,ECT Sensor,critical,"The ECU receives a voltage signal from the ECT sensor that is higher than expected, often indicating an open circuit or faulty sensor reading low temperature.","Engine runs cool (false reading); Overheating; Poor idle",Inspect ECT sensor wiring for opens; Verify sensor resistance; Replace ECT sensor,Mounted on the cylinder head or engine block.
P0120,Throttle Position Sensor (TPS) Circuit Malfunction,TPS,critical,"The ECU detects an abnormal signal from the TPS, indicating a general circuit issue or incorrect throttle position reading.","Poor throttle response; Engine hesitation; Inconsistent idle",Check TPS wiring for damage; Calibrate TPS; Replace TPS,Mounted on the throttle body.
