code,title,affectedPart,severity,problem,symptoms,actions,location
P0105,Manifold Absolute Pressure Sensor Circuit Malfunction,MAP Sensor,warning,"The Engine Control Module (ECM) has detected a general malfunction in the Manifold Absolute Pressure (MAP) sensor circuit, which measures intake manifold pressure. This can affect fuel-air mixture calculations.",Rough idle; Reduced engine power; Increased fuel consumption,Check MAP sensor wiring; Verify sensor voltage output; Replace MAP sensor if faulty,On the intake manifold or airbox
P0107,MAP Sensor Circuit Low Input,MAP Sensor,warning,"The ECM detects an abnormally low voltage signal from the MAP sensor, indicating a short to ground or an open circuit. This can lead to incorrect fuel delivery.",Engine hesitation; Poor acceleration; Rich running condition,Inspect wiring for shorts; Test sensor voltage at idle; Replace MAP sensor,On the intake manifold or airbox
P0108,MAP Sensor Circuit High Input,MAP Sensor,warning,"The ECM detects an abnormally high voltage signal from the MAP sensor, indicating a short to power or a faulty sensor. This can lead to incorrect fuel delivery.",Engine stall; Lean running condition; Difficult starting,Inspect wiring for shorts to power; Test sensor voltage under load; Replace MAP sensor,On the intake manifold or airbox
P0110,Intake Air Temperature Sensor Circuit Malfunction,IAT Sensor,warning,"The ECM has detected an inconsistent or incorrect signal from the Intake Air Temperature (IAT) sensor. This sensor provides air density information for fuel calculations.",Poor fuel economy; Hard starting; Black smoke from exhaust,Check IAT sensor wiring; Test sensor resistance; Clean or replace IAT sensor,In the airbox or intake tract
P0112,IAT Sensor Circuit Low Input,IAT Sensor,warning,"The ECM detects a low voltage signal from the IAT sensor, often indicating a short circuit or an open circuit. This leads the ECM to assume cold intake air.",Rich fuel mixture; Reduced engine performance; Increased emissions,Inspect wiring for shorts; Test sensor resistance; Replace IAT sensor,In the airbox or intake tract
P0113,IAT Sensor Circuit High Input,IAT Sensor,warning,"The ECM detects a high voltage signal from the IAT sensor, suggesting an open circuit or faulty sensor. This leads the ECM to assume hot intake air.",Lean fuel mixture; Engine knocking; Overheating,Inspect wiring for opens; Test sensor resistance; Replace IAT sensor,In the airbox or intake tract
P0115,Engine Coolant Temperature Sensor Circuit Malfunction,ECT Sensor,warning,"The ECM has detected a general malfunction in the Engine Coolant Temperature (ECT) sensor circuit. This sensor is crucial for cold start enrichment and fan control.",Difficult cold starting; Engine overheating; High idle RPM,Check ECT sensor wiring; Test sensor resistance; Replace ECT sensor,On the cylinder head or water pump housing
P0117,ECT Sensor Circuit Low Input,ECT Sensor,critical,"The ECM detects an abnormally low voltage signal from the ECT sensor, often indicating a short to ground or faulty sensor. This makes the ECM think the engine is very hot.",Engine running rich; Poor fuel economy; Engine fan constantly on,Inspect wiring for shorts; Test sensor voltage; Replace ECT sensor,On the cylinder head or water pump housing
P0118,ECT Sensor Circuit High Input,ECT Sensor,critical,"The ECM detects an abnormally high voltage signal from the ECT sensor, often indicating an open circuit or faulty sensor. This makes the ECM think the engine is very cold.",Engine running lean; Overheating without fan; High idle RPM,Inspect wiring for opens; Test sensor voltage; Replace ECT sensor,On the cylinder head or water pump housing
P0120,Throttle Position Sensor Circuit Malfunction,TP Sensor,warning,"The ECM has detected a general malfunction in the Throttle Position (TP) sensor circuit. This sensor tells the ECM the throttle plate's angle.",Erratic idle; Engine surging; Poor throttle response,Check TP sensor wiring; Verify sensor voltage sweep; Adjust or replace TP sensor,On the throttle body
P0122,TP Sensor Circuit Low Input,TP Sensor,critical,"The ECM detects an abnormally low voltage signal from the TP sensor, indicating a short to ground or an out-of-range adjustment. This often leads to reduced power.",Lack of power; Engine hesitation; Stalling at idle,Inspect wiring for shorts; Test sensor voltage at closed throttle; Adjust or replace TP sensor,On the throttle body
P0123,TP Sensor Circuit High Input,TP Sensor,critical,"The ECM detects an abnormally high voltage signal from the TP sensor, indicating a short to power or an out-of-range adjustment. This can cause over-fueling.",High idle RPM; Unintended acceleration; Engine running rich,Inspect wiring for shorts to power; Test sensor voltage at wide open throttle; Adjust or replace TP sensor,On the throttle body
P0130,O2 Sensor Circuit Malfunction (Bank 1 Sensor 1),Oxygen Sensor,warning,"The ECM has detected a general malfunction in the primary (upstream) Oxygen (O2) sensor circuit, which monitors exhaust gas oxygen content. This affects fuel trim.",Poor fuel economy; Increased emissions; MIL illuminated,Check O2 sensor wiring; Test sensor output voltage; Replace O2 sensor,In the exhaust pipe, before the catalytic converter
P0131,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1),Oxygen Sensor,warning,"The primary O2 sensor circuit voltage remains consistently low, indicating a lean condition or a faulty sensor/circuit. This can cause the ECM to over-fuel.",Black smoke from exhaust; Strong fuel smell; Reduced engine power,Check for exhaust leaks; Inspect wiring; Replace O2 sensor,In the exhaust pipe, before the catalytic converter
P0132,O2 Sensor Circuit High Voltage (Bank 1 Sensor 1),Oxygen Sensor,warning,"The primary O2 sensor circuit voltage remains consistently high, indicating a rich condition or a faulty sensor/circuit. This can cause the ECM to under-fuel.",Engine hesitation; Poor acceleration; Increased engine temperature,Check for fuel leaks/rich condition; Inspect wiring; Replace O2 sensor,In the exhaust pipe, before the catalytic converter
P0135,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1),Oxygen Sensor,warning,"The ECM detects a malfunction in the heating element circuit of the primary O2 sensor. The heater brings the sensor to operating temperature quickly for accurate readings.",Delayed closed loop operation; Increased emissions on cold start; Poor fuel economy,Check heater circuit fuse; Inspect wiring; Replace O2 sensor,In the exhaust pipe, before the catalytic converter
P0171,System Too Lean (Bank 1),Fuel System,critical,"The ECM detects that the engine is running too lean (too much air, not enough fuel). This indicates a vacuum leak, fuel delivery issue, or exhaust leak.",Engine misfires; Lack of power; Pinging or knocking sounds,Check for vacuum leaks; Inspect fuel pressure; Clean fuel injectors,Engine bay, various components
P0172,System Too Rich (Bank 1),Fuel System,critical,"The ECM detects that the engine is running too rich (too much fuel, not enough air). This indicates a leaking injector, faulty fuel pressure regulator, or restricted air intake.",Black smoke from exhaust; Strong fuel smell; Reduced fuel economy,Check for leaking injectors; Test fuel pressure regulator; Inspect air filter,Engine bay, various components
P0201,Injector Circuit Malfunction - Cylinder 1,Fuel Injector,critical,"The ECM detects an open or short circuit in the electrical circuit for the fuel injector of cylinder 1, preventing proper fuel delivery.",Engine misfire; Rough idle; Loss of power,Check injector wiring harness; Test injector resistance; Replace fuel injector,Cylinder 1 intake port
P0202,Injector Circuit Malfunction - Cylinder 2,Fuel Injector,critical,"The ECM detects an open or short circuit in the electrical circuit for the fuel injector of cylinder 2, preventing proper fuel delivery.",Engine misfire; Rough idle; Loss of power,Check injector wiring harness; Test injector resistance; Replace fuel injector,Cylinder 2 intake port
P0203,Injector Circuit Malfunction - Cylinder 3,Fuel Injector,critical,"The ECM detects an open or short circuit in the electrical circuit for the fuel injector of cylinder 3, preventing proper fuel delivery.",Engine misfire; Rough idle; Loss of power,Check injector wiring harness; Test injector resistance; Replace fuel injector,Cylinder 3 intake port
P0204,Injector Circuit Malfunction - Cylinder 4,Fuel Injector,critical,"The ECM detects an open or short circuit in the electrical circuit for the fuel injector of cylinder 4, preventing proper fuel delivery.",Engine misfire; Rough idle; Loss of power,Check injector wiring harness; Test injector resistance; Replace fuel injector,Cylinder 4 intake port
P0230,Fuel Pump Primary Circuit Malfunction,Fuel Pump Relay/Circuit,critical,"The ECM detects a general malfunction in the primary control circuit for the fuel pump. This can prevent the fuel pump from operating.",Engine will not start; Engine stalls; Loss of fuel pressure,Check fuel pump fuse; Inspect wiring to fuel pump relay; Test fuel pump relay,Under seat or side cover, near fuel tank
P0335,Crankshaft Position Sensor 'A' Circuit Malfunction,Crankshaft Position Sensor (CKP),critical,"The ECM detects an erratic or absent signal from the Crankshaft Position (CKP) sensor. This sensor is vital for engine timing and RPM.",Engine will not start; Engine stalls; Intermittent misfires,Check CKP sensor wiring; Inspect sensor for damage; Replace CKP sensor,Near the crankshaft, often behind the stator cover
P0340,Camshaft Position Sensor 'A' Circuit Malfunction,Camshaft Position Sensor (CMP),critical,"The ECM detects an erratic or absent signal from the Camshaft Position (CMP) sensor. This sensor is used for valve timing and sequential fuel injection.",Hard starting; Engine stalls; Reduced engine power,Check CMP sensor wiring; Inspect sensor for damage; Replace CMP sensor,On the cylinder head, near the camshaft
P0351,Ignition Coil 'A' Primary/Secondary Circuit Malfunction (Cylinder 1),Ignition Coil,critical,"The ECM detects a malfunction in the primary or secondary circuit of the ignition coil for cylinder 1, leading to a loss of spark.",Engine misfire; Rough idle; Reduced power,Check spark plug; Inspect coil wiring; Replace ignition coil,Over cylinder 1 spark plug
P0410,Secondary Air Injection System Malfunction,PAIR Valve,warning,"The ECM detects an issue with the Secondary Air Injection (PAIR) system, which injects fresh air into the exhaust to burn unspent fuel and reduce emissions.",Increased exhaust emissions; ""Check Engine"" light on; Possible backfiring,Check PAIR valve vacuum lines; Test PAIR valve solenoid; Inspect air pump operation,Near the cylinder head, part of the emissions system
P0443,EVAP Purge Control Valve Circuit Malfunction,EVAP Purge Valve,warning,"The ECM detects an electrical malfunction in the Evaporative Emission Control System (EVAP) purge control valve circuit. This valve controls fuel vapor flow.",Fuel smell; Reduced fuel economy; Hard starting after refueling,Check EVAP purge valve wiring; Test purge valve solenoid; Replace purge valve,Near the fuel tank or airbox
P0500,Vehicle Speed Sensor 'A' Malfunction,Vehicle Speed Sensor (VSS),warning,"The ECM detects an erratic or absent signal from the Vehicle Speed Sensor (VSS). This sensor provides road speed information for various engine and transmission functions.",Inaccurate speedometer; Engine management issues; Cruise control malfunction,Check VSS wiring; Inspect sensor for debris; Replace VSS,On the transmission output shaft or wheel
P0505,Idle Control System Malfunction,Idle Speed Control (ISC) Valve,warning,"The ECM detects a malfunction in the Idle Speed Control (ISC) system. This system regulates engine idle speed.",Erratic idle; Stalling at idle; High idle RPM,Clean ISC valve; Inspect wiring to ISC valve; Replace ISC valve,On the throttle body
P0560,System Voltage Malfunction,Battery/Charging System,critical,"The ECM detects an incorrect or unstable system voltage, indicating issues with the battery or charging system. This affects all electrical components.",Dim lights; Engine struggles to start; Intermittent electrical faults,Check battery voltage; Inspect alternator/stator output; Check rectifier/regulator,Battery: under seat; Stator: left engine cover; Regulator: usually rear or side of bike
