code,title,affectedPart,severity,problem,symptoms,actions,location
P0107,Manifold Absolute Pressure/Barometric Pressure Circuit Low Input,MAP/BARO Sensor,warning,"The Engine Control Module (ECM) detects a lower-than-expected voltage signal from the MAP/BARO sensor, indicating low pressure or a circuit issue. This affects fuel-air mixture calculations on Hero bikes.",Poor acceleration; Engine hesitation; Increased fuel consumption,Check MAP sensor wiring and connectors; Inspect sensor for blockage or damage; Replace MAP sensor if faulty,Located near the throttle body or on the intake manifold
P0108,Manifold Absolute Pressure/Barometric Pressure Circuit High Input,MAP/BARO Sensor,warning,"The ECM detects a higher-than-expected voltage signal from the MAP/BARO sensor, indicating high pressure or a circuit issue. This can lead to incorrect fuel delivery in Hero's EFI systems.",Rough idle; Engine misfire; Black smoke from exhaust,Check MAP sensor wiring for shorts to voltage; Test sensor output voltage; Replace MAP sensor if faulty,Located near the throttle body or on the intake manifold
P0112,Intake Air Temperature Circuit Low Input,IAT Sensor,warning,"The ECM detects a low voltage signal from the IAT sensor, indicating the intake air is very cold or there's a circuit open/short. This impacts fuel calculation, especially for cold starting on Hero models.",Hard starting in cold weather; Increased fuel consumption; Engine runs rich,Check IAT sensor wiring for shorts to ground; Test IAT sensor resistance; Replace IAT sensor if out of spec,Located in the air filter box or intake manifold
P0113,Intake Air Temperature Circuit High Input,IAT Sensor,warning,"The ECM detects a high voltage signal from the IAT sensor, indicating the intake air is very hot or there's an open circuit. This can lead to lean conditions and reduced power on Hero bikes.",Engine hesitation; Reduced power; Increased engine temperature,Check IAT sensor wiring for open circuit; Test IAT sensor resistance; Replace IAT sensor if out of spec,Located in the air filter box or intake manifold
P0117,Engine Coolant Temperature Circuit Low Input,ECT Sensor,warning,"The ECM detects a low voltage signal from the ECT sensor, indicating the engine is very cold or a short circuit. This affects cold start enrichment and idle speed on Hero's liquid-cooled engines.",Hard starting; Engine runs rich; Poor fuel economy,Check ECT sensor wiring for shorts to ground; Test ECT sensor resistance; Replace ECT sensor if faulty,Located on the engine cylinder head or thermostat housing
P0118,Engine Coolant Temperature Circuit High Input,ECT Sensor,warning,"The ECM detects a high voltage signal from the ECT sensor, indicating the engine is very hot or an open circuit. This can cause the engine to run lean and overheat on Hero models.",Engine overheating; Poor performance; Fan always on or never on,Check ECT sensor wiring for open circuit; Test ECT sensor resistance; Replace ECT sensor if faulty,Located on the engine cylinder head or thermostat housing
P0122,Throttle Position Sensor Circuit Low Input,TPS,warning,"The ECM detects a low voltage signal from the TPS, indicating the throttle is closed when it should be open, or a circuit issue. This affects throttle response on Hero motorcycles.",Poor throttle response; Engine hesitation; Unstable idle,Check TPS wiring for shorts to ground; Calibrate TPS; Replace TPS if faulty,Mounted on the throttle body
P0123,Throttle Position Sensor Circuit High Input,TPS,warning,"The ECM detects a high voltage signal from the TPS, indicating the throttle is wide open when it should be closed, or a circuit issue. This can lead to incorrect fuel delivery.",Engine races; Unstable idle; No throttle response,Check TPS wiring for shorts to voltage; Calibrate TPS; Replace TPS if faulty,Mounted on the throttle body
P0131,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1),Oxygen Sensor,warning,"The ECM detects a consistently low voltage from the upstream oxygen sensor, indicating a lean fuel-air mixture or a faulty sensor. Common on Hero Xpulse models.",Poor fuel economy; Check Engine Light (CEL); Reduced power,Check for exhaust leaks; Inspect O2 sensor wiring; Replace O2 sensor,Located in the exhaust manifold or header pipe
P0132,O2 Sensor Circuit High Voltage (Bank 1 Sensor 1),Oxygen Sensor,warning,"The ECM detects a consistently high voltage from the upstream oxygen sensor, indicating a rich fuel-air mixture or a faulty sensor. Can cause rough running on Hero bikes.",Black smoke from exhaust; Rough idle; Increased fuel consumption,Check for fuel system issues (leaky injector); Inspect O2 sensor wiring; Replace O2 sensor,Located in the exhaust manifold or header pipe
P0135,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1),Oxygen Sensor,warning,"The ECM detects an issue with the heating element circuit of the upstream oxygen sensor. A non-functional heater prevents the O2 sensor from reaching operating temperature quickly, affecting emissions.",Increased emissions; Poor cold start performance; Reduced fuel efficiency,Check O2 sensor heater fuse; Inspect O2 sensor heater wiring; Replace O2 sensor,Located in the exhaust manifold or header pipe
P0171,System Too Lean (Bank 1),Fuel System,critical,"The ECM detects that the engine is running too lean (too much air, not enough fuel) across the fuel trim ranges. This can damage the engine if not addressed on Hero's EFI models.",Engine hesitation; Lack of power; Engine misfire,Check for vacuum leaks; Inspect fuel pressure; Clean/replace fuel injectors,Pertains to the overall engine fuel system
P0172,System Too Rich (Bank 1),Fuel System,critical,"The ECM detects that the engine is running too rich (too much fuel, not enough air) across the fuel trim ranges. This can lead to fouled spark plugs and catalytic converter damage on Hero bikes.",Black smoke from exhaust; Poor fuel economy; Rough idle,Check for leaky fuel injectors; Inspect fuel pressure regulator; Check air filter for blockage,Pertains to the overall engine fuel system
P0201,Injector Circuit/Open - Cylinder 1,Fuel Injector,critical,"The ECM detects an open circuit in the fuel injector for cylinder 1, meaning the injector is not firing. This causes a complete loss of power for that cylinder on Hero single-cylinder engines.",Engine misfire; Engine vibration; Loss of power,Check injector wiring for open circuit; Test injector resistance; Replace fuel injector,Mounted on the throttle body or intake manifold
P0230,Fuel Pump Primary Circuit Malfunction,Fuel Pump,warning,"The ECM detects an issue with the electrical circuit controlling the fuel pump, such as an open or short. This can interrupt fuel supply to the engine on Hero bikes.",Engine cranks but won't start; Engine stalls; Reduced power,Check fuel pump fuse and relay; Inspect fuel pump wiring; Test fuel pump operation,Fuel tank
P0335,Crankshaft Position Sensor 'A' Circuit,Crankshaft Position Sensor,critical,"The ECM is not receiving a signal from the crankshaft position sensor, or the signal is erratic. This sensor is crucial for ignition timing and fuel injection on Hero engines.",Engine cranks but won't start; Engine stalls intermittently; Erratic RPM readings,Check CKP sensor wiring; Inspect CKP sensor for damage; Replace CKP sensor,Located near the crankshaft, often behind the stator cover
P0336,Crankshaft Position Sensor 'A' Circuit Range/Performance,Crankshaft Position Sensor,critical,"The ECM detects that the crankshaft position sensor signal is outside the expected range or has an intermittent performance issue. This affects engine timing on Hero models.",Engine misfire; Intermittent starting issues; Reduced engine performance,Check CKP sensor mounting; Inspect reluctor wheel for damage; Replace CKP sensor,Located near the crankshaft, often behind the stator cover
P0351,Ignition Coil 'A' Primary/Secondary Circuit,Ignition Coil,warning,"The ECM detects an issue with the primary or secondary circuit of the ignition coil. This can lead to a lack of spark on Hero's single-cylinder engines.",Engine misfire; Rough idle; Loss of power,Check ignition coil wiring; Test ignition coil resistance; Replace ignition coil,Mounted near the spark plug, often integrated with the spark plug cap
P0444,EVAP Purge Control Valve Circuit Open,EVAP Purge Valve,info,"The ECM detects an open circuit in the EVAP purge control valve, which manages fuel vapor flow from the charcoal canister. Affects emission control on Hero scooters and motorcycles.",Check Engine Light (CEL); Slight increase in emissions; No noticeable performance impact,Check purge valve wiring for open circuit; Test purge valve solenoid; Replace purge valve,Near the charcoal canister, often under the seat or tank
P0500,Vehicle Speed Sensor 'A',Vehicle Speed Sensor,warning,"The ECM is not receiving a signal from the vehicle speed sensor (VSS) or the signal is erratic. This affects speedometer readings and gear-dependent functions on Hero bikes.",Speedometer not working; Idling issues; ABS malfunction (if equipped),Check VSS wiring and connectors; Inspect VSS for damage; Replace VSS,Typically on the front or rear wheel, or transmission output shaft
P0505,Idle Air Control System RPM Higher Than Expected,IAC Valve/System,warning,"The ECM detects that the idle speed is higher than the desired RPM, indicating an issue with the idle air control system. Common on older Hero EFI models.",High idle speed; Engine surges at idle; Poor fuel economy,Check for vacuum leaks; Clean IAC valve; Replace IAC valve,Mounted on the throttle body
P0560,System Voltage Malfunction,Battery/Charging System,warning,"The ECM detects that the system voltage is outside the normal operating range, indicating an issue with the battery or charging system on Hero motorcycles.",Dim lights; Hard starting; Battery drains quickly,Check battery terminals; Test battery voltage; Inspect charging system components (regulator/rectifier),Pertains to the overall electrical system
P0562,System Voltage Low,Battery/Charging System,critical,"The ECM detects that the system voltage is consistently below the normal operating range, which can prevent proper operation of electrical components. A serious issue for Hero bikes.",Engine cranks slowly; Engine struggles to start; Electrical components malfunction,Charge battery; Test alternator/stator output; Inspect regulator/rectifier,Pertains to the overall electrical system
P0563,System Voltage High,Battery/Charging System,warning,"The ECM detects that the system voltage is consistently above the normal operating range, which can damage electrical components and the battery on Hero models.",Overcharging battery; Bulbs blowing frequently; Electrical component damage,Test regulator/rectifier; Inspect wiring for shorts; Replace faulty charging component,Pertains to the overall electrical system
P0600,Serial Communication Link Malfunction,ECM/Communication Bus,critical,"The ECM detects an issue with the serial communication link (CAN bus), preventing proper communication between modules. This can severely impact Hero's advanced models.",Multiple warning lights; Inoperative gauges; Engine non-start,Check CAN bus wiring; Inspect connectors for corrosion; Replace faulty module (ECM/BCM),Pertains to the bike's internal communication network
P0605,Internal Control Module Read Only Memory (ROM) Error,ECM,critical,"The ECM detects an internal error within its Read Only Memory (ROM), indicating a critical failure of the ECM itself. This typically requires ECM replacement on Hero bikes.",Engine non-start; No communication with diagnostic tools; Multiple system failures,Check ECM power and ground; Inspect ECM connectors; Replace ECM,Located under the seat or behind a side panel
P0627,Fuel Pump Control Circuit/Open,Fuel Pump Relay/Circuit,warning,"The ECM detects an open circuit in the fuel pump control circuit, preventing the fuel pump from operating. This will cause a no-start condition for Hero motorcycles.",Engine cranks but won't start; No fuel pump priming sound; Engine stalls,Check fuel pump relay; Inspect fuel pump wiring; Test power to fuel pump,Fuel tank (pump), under seat (relay)
P0650,Malfunction Indicator Lamp (MIL) Control Circuit Malfunction,MIL Circuit,info,"The ECM detects a fault in the circuit that controls the Malfunction Indicator Lamp (CEL/MIL), meaning the light may not illuminate when it should or remains on constantly.",Check Engine Light (CEL) stays on or off incorrectly; No other obvious symptoms; Unable to clear codes,Check MIL bulb; Inspect MIL wiring; Replace instrument cluster if necessary,Instrument cluster
P0700,Transmission Control System (MIL Request),Transmission Control Module (TCM),warning,"The ECM receives a signal from the Transmission Control Module (TCM) indicating a fault in the transmission system. Relevant for Hero scooters with CVT or future models with advanced gearboxes.",Poor shifting (scooters); Transmission slips; Check Engine Light (CEL),Scan for specific transmission codes; Check transmission fluid level; Inspect transmission wiring,Pertains to the transmission system
P1500,Vehicle Speed Sensor Intermittent,Vehicle Speed Sensor,warning,"The ECM detects intermittent or erratic signals from the vehicle speed sensor. This can cause inconsistent speedometer readings on Hero bikes.",Inaccurate speedometer; Intermittent idle issues; ABS light on/off,Check VSS wiring for loose connections; Inspect VSS sensor head; Clean VSS sensor,Front or rear wheel, or transmission output shaft
P1601,ECM Internal Check Sum Error,ECM,critical,"The ECM detects an internal error in its programming or data integrity. This is a critical ECM fault for Hero EFI systems.",Engine non-start; Unpredictable engine behavior; No communication with diagnostic tools,Check ECM power and ground; Attempt ECM reflash/reprogram; Replace ECM,Located under the seat or behind a side panel
P2100,Throttle Actuator Control Motor Circuit/Open,Throttle Body/Actuator,critical,"The ECM detects an open circuit in the electronic throttle actuator control motor. Affects ride-by-wire Hero models, resulting in no throttle response.",No throttle response; Engine in limp mode; Accelerator pedal unresponsive,Check throttle actuator wiring; Inspect throttle body for damage; Replace throttle body assembly,Throttle body
P2119,Throttle Actuator Control Throttle Body Range/Performance,Throttle Body/Actuator,critical,"The ECM detects that the electronic throttle body's position is out of expected range or performing erratically. Common on Hero's advanced EFI scooters/motorcycles.",Reduced engine power; Engine hesitation; Unpredictable throttle response,Check throttle body for binding; Inspect wiring to throttle body; Replace throttle body assembly,Throttle body
P2122,Throttle/Pedal Position Sensor/Switch 'D' Circuit Low Input,Accelerator Position Sensor (APS),warning,"The ECM detects a low voltage signal from the accelerator position sensor (APS), indicating an issue with throttle input on ride-by-wire Hero models.",Reduced power; Engine in limp mode; Poor throttle response,Check APS wiring for shorts to ground; Calibrate APS; Replace APS,Located in the throttle grip assembly
P2123,Throttle/Pedal Position Sensor/Switch 'D' Circuit High Input,Accelerator Position Sensor (APS),warning,"The ECM detects a high voltage signal from the accelerator position sensor (APS), indicating an issue with throttle input on ride-by-wire Hero models.",Reduced power; Engine in limp mode; Uncontrolled acceleration,Check APS wiring for shorts to voltage; Calibrate APS; Replace APS,Located in the throttle grip assembly
P2127,Throttle/Pedal Position Sensor/Switch 'E' Circuit Low Input,Accelerator Position Sensor (APS),warning,"The ECM detects a low voltage signal from a redundant accelerator position sensor, confirming an issue with throttle input on ride-by-wire Hero models.",Engine in limp mode; No throttle response; Intermittent power loss,Check APS wiring for shorts to ground; Compare APS signals; Replace APS,Located in the throttle grip assembly
P2128,Throttle/Pedal Position Sensor/Switch 'E' Circuit High Input,Accelerator Position Sensor (APS),warning,"The ECM detects a high voltage signal from a redundant accelerator position sensor, confirming an issue with throttle input on ride-by-wire Hero models.",Engine in limp mode; Uncontrolled acceleration; Poor throttle control,Check APS wiring for shorts to voltage; Compare APS signals; Replace APS,Located in the throttle grip assembly
P2135,Throttle/Pedal Position Sensor/Switch 'A'/'B' Voltage Correlation,TPS/APS,critical,"The ECM detects a discrepancy between the signals from two different throttle position sensors, indicating a critical fault in throttle input on Hero's ride-by-wire systems.",Engine in limp mode; No throttle response; Safety shutdown,Check wiring harness; Calibrate TPS/APS; Replace faulty TPS/APS or throttle body,Throttle body or throttle grip assembly
P2176,Throttle Actuator Control System - Idle Position Not Learned,Throttle Body/Actuator,warning,"The ECM is unable to learn or maintain the correct idle position for the electronic throttle body. Affects smooth idle on Hero's advanced EFI models.",Unstable idle; Engine stalls at idle; Hesitation during acceleration,Perform idle relearn procedure; Clean throttle body; Inspect throttle body components,Throttle body
P0460,Fuel Level Sensor Circuit Malfunction,Fuel Level Sensor,info,"The ECM detects an issue with the fuel level sensor circuit, leading to incorrect fuel gauge readings on Hero bikes.",Inaccurate fuel gauge; Fuel light malfunction; Cannot determine fuel quantity,Check fuel level sensor wiring; Test sensor resistance; Replace fuel level sensor,Inside the fuel tank
P0604,Internal Control Module Random Access Memory (RAM) Error,ECM,critical,"The ECM detects an internal error within its Random Access Memory (RAM), indicating a critical failure of the ECM itself. Requires ECM replacement on Hero bikes.",Engine non-start; Unpredictable engine behavior; Loss of stored data,Check ECM power and ground; Inspect ECM connectors; Replace ECM,Located under the seat or behind a side panel
P0606,Control Module Internal Performance,ECM,critical,"The ECM detects an internal performance error, often indicating a processor failure or software issue. A critical fault for Hero's EFI systems.",Engine non-start; Engine stalls; Multiple system failures,Check ECM power and ground; Attempt ECM reflash/reprogram; Replace ECM,Located under the seat or behind a side panel
