code,title,affectedPart,severity,problem,symptoms,actions,location
P0105,MAP/BARO Pressure Circuit Malfunction,Manifold Absolute Pressure (MAP) Sensor,warning,"The Engine Control Unit (ECU) detects an implausible or erratic signal from the MAP/BARO pressure sensor, indicating a general circuit issue.",Rough idle; Engine hesitation; Decreased fuel efficiency,"Check sensor wiring for damage; Verify sensor voltage output; Replace MAP sensor if faulty",Located on the intake manifold or near the throttle body
P0107,MAP/BARO Pressure Circuit Low Input,Manifold Absolute Pressure (MAP) Sensor,warning,"The ECU detects a voltage signal from the MAP/BARO sensor that is lower than expected, suggesting a vacuum leak or sensor malfunction.",Poor acceleration; Engine may stall; Reduced power,"Inspect vacuum lines for leaks; Check MAP sensor wiring for shorts; Test MAP sensor output",Located on the intake manifold or near the throttle body
P0108,MAP/BARO Pressure Circuit High Input,Manifold Absolute Pressure (MAP) Sensor,warning,"The ECU detects a voltage signal from the MAP/BARO sensor that is higher than expected, suggesting high pressure or a wiring issue.",Rough idle; Engine hesitation; Excessive fuel consumption,"Check MAP sensor wiring for shorts or corrosion; Test MAP sensor output voltage; Replace MAP sensor if faulty",Located on the intake manifold or near the throttle body
P0110,IAT Sensor Circuit Malfunction,Intake Air Temperature (IAT) Sensor,warning,"The ECU detects an abnormal or missing signal from the Intake Air Temperature (IAT) sensor, which monitors the temperature of the incoming air.",Poor cold starting; Incorrect fuel-air mixture; Reduced engine performance,"Inspect IAT sensor wiring and connectors; Measure sensor resistance; Replace IAT sensor if out of specification",Located in the airbox or intake tract
P0113,IAT Sensor Circuit High Input,Intake Air Temperature (IAT) Sensor,warning,"The ECU detects a high voltage signal from the IAT sensor, indicating that the intake air temperature is unusually cold, which might be a sensor or wiring fault.",Rough idle; Rich fuel mixture; Decreased fuel economy,"Check IAT sensor wiring for open circuits; Test sensor resistance at ambient temperature; Replace IAT sensor if faulty",Located in the airbox or intake tract
P0115,ECT Sensor Circuit Malfunction,Engine Coolant Temperature (ECT) Sensor,warning,"The ECU detects an abnormal or missing signal from the Engine Coolant Temperature (ECT) sensor, which monitors engine operating temperature.",Hard starting; Overheating concerns; Incorrect fan operation,"Inspect ECT sensor wiring for damage; Measure sensor resistance; Replace ECT sensor if faulty",Located near the cylinder head or thermostat housing
P0118,ECT Sensor Circuit High Input,Engine Coolant Temperature (ECT) Sensor,warning,"The ECU detects a high voltage signal from the ECT sensor, indicating that the engine coolant temperature is unusually cold, often a wiring or sensor fault.",Engine runs rich; Delayed fan engagement; Poor fuel economy,"Check ECT sensor wiring for open circuits; Test sensor resistance; Replace ECT sensor if faulty",Located near the cylinder head or thermostat housing
P0120,TPS Circuit Malfunction,Throttle Position Sensor (TPS),critical,"The ECU detects an implausible or erratic signal from the Throttle Position Sensor (TPS), indicating an issue with throttle opening detection.",Erratic idle; Engine unwilling to rev; FI light on,"Check TPS wiring for damage; Calibrate TPS if adjustable; Replace TPS if readings are incorrect",Attached to the throttle body shaft
P0122,TPS Circuit Low Input,Throttle Position Sensor (TPS),critical,"The ECU detects a voltage signal from the TPS that is lower than expected, indicating the throttle may be incorrectly perceived as closed or a wiring short.",Engine hesitant to accelerate; Poor throttle response; Engine may stall,"Inspect TPS wiring for shorts; Test TPS output voltage at various throttle positions; Replace TPS if faulty",Attached to the throttle body shaft
P0123,TPS Circuit High Input,Throttle Position Sensor (TPS),critical,"The ECU detects a voltage signal from the TPS that is higher than expected, indicating the throttle may be incorrectly perceived as wide open or a wiring open circuit.",High idle; Unintended acceleration; Engine running rich,"Check TPS wiring for open circuits; Test TPS output voltage; Replace TPS if faulty",Attached to the throttle body shaft
P0130,O2 Sensor Circuit Malfunction (Bank 1 Sensor 1),Oxygen (O2) Sensor,warning,"The ECU detects an abnormal signal from the front oxygen sensor, indicating it's not performing correctly or a circuit issue.",Decreased fuel economy; Increased emissions; MIL illuminated,"Check O2 sensor wiring and connectors; Test O2 sensor output voltage; Replace O2 sensor if faulty",Located in the exhaust header pipe, before the catalytic converter
P0135,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1),Oxygen (O2) Sensor Heater,warning,"The ECU detects a fault in the heater circuit of the front oxygen sensor, preventing it from reaching optimal operating temperature quickly.",Increased emissions; Poor fuel economy during warm-up; MIL illuminated,"Check O2 sensor heater wiring; Test heater resistance; Replace O2 sensor if heater is faulty",Located in the exhaust header pipe, before the catalytic converter
P0171,System Too Lean (Bank 1),Fuel System/O2 Sensor/Injectors/Vacuum,warning,"The ECU detects that the engine is running with too much air and not enough fuel, potentially due to a vacuum leak, fuel delivery issue, or faulty sensor.",Rough idle; Engine hesitation; Reduced power,"Check for vacuum leaks; Inspect fuel pressure and injectors; Diagnose O2 sensor operation",Multiple locations including intake manifold, fuel pump, injectors, exhaust
P0172,System Too Rich (Bank 1),Fuel System/O2 Sensor/Injectors,warning,"The ECU detects that the engine is running with too much fuel and not enough air, potentially due to leaky injectors, high fuel pressure, or faulty O2 sensor.",Black smoke from exhaust; Poor fuel economy; Engine hesitation,"Check fuel pressure regulator; Inspect injectors for leaks; Diagnose O2 sensor operation",Multiple locations including fuel pump, injectors, exhaust
P0201,Injector Circuit Malfunction - Cylinder 1,Fuel Injector (Cylinder 1),critical,"The ECU detects an electrical fault in the circuit controlling the fuel injector for cylinder 1, which can prevent proper fuel delivery.",Engine misfire; Rough running; Loss of power for cylinder 1,"Check injector wiring for shorts/opens; Test injector resistance; Replace injector if faulty",Attached to the intake manifold, supplying cylinder 1
P0202,Injector Circuit Malfunction - Cylinder 2,Fuel Injector (Cylinder 2),critical,"The ECU detects an electrical fault in the circuit controlling the fuel injector for cylinder 2, which can prevent proper fuel delivery.",Engine misfire; Rough running; Loss of power for cylinder 2,"Check injector wiring for shorts/opens; Test injector resistance; Replace injector if faulty",Attached to the intake manifold, supplying cylinder 2
P0335,Crankshaft Position Sensor 'A' Circuit Malfunction,Crankshaft Position (CKP) Sensor,critical,"The ECU detects an abnormal or missing signal from the crankshaft position sensor, essential for determining engine speed and piston position.",Engine fails to start; Engine stalls while running; No spark,"Check CKP sensor wiring; Test CKP sensor resistance/output; Replace CKP sensor if faulty",Located near the crankshaft, often behind the stator cover
P0340,Camshaft Position Sensor Circuit Malfunction,Camshaft Position (CMP) Sensor,critical,"The ECU detects an abnormal or missing signal from the camshaft position sensor, essential for valve timing and fuel injection synchronization.",Engine fails to start; Reduced engine power; Incorrect timing,"Check CMP sensor wiring; Test CMP sensor resistance/output; Replace CMP sensor if faulty",Located near the camshaft, often on the cylinder head
P0351,Ignition Coil 'A' Primary/Secondary Circuit Malfunction (Cyl 1),Ignition Coil (Cylinder 1),critical,"The ECU detects an electrical fault in the primary or secondary circuit of the ignition coil for cylinder 1, leading to a lack of spark.",Engine misfire; Rough running; Loss of power for cylinder 1,"Check coil wiring; Test coil resistance; Replace ignition coil if faulty",Mounted directly on the spark plug or near the cylinder head
P0443,Evaporative Emission System Purge Control Valve Circuit,EVAP Purge Valve,info,"The ECU detects an electrical fault in the circuit controlling the EVAP purge control valve, which manages fuel vapor flow from the charcoal canister.",Check engine light on; Minor emissions issue; No noticeable driveability problems,"Check valve wiring for shorts/opens; Test valve operation (click test); Replace purge valve if faulty",Located near the charcoal canister or throttle body
P0500,Vehicle Speed Sensor Malfunction,Vehicle Speed Sensor (VSS),warning,"The ECU detects an abnormal or missing signal from the vehicle speed sensor, affecting speedometer and speed-dependent functions.",Speedometer not working; Cruise control failure; Inconsistent gear changes,"Check VSS wiring for damage; Test VSS output; Replace VSS if faulty",Located on the transmission or front/rear wheel
P0505,Idle Control System Malfunction,Idle Air Control (IAC) Valve / Sub-throttle Actuator,warning,"The ECU detects an issue with the idle control system, preventing the engine from maintaining a stable idle speed.",Unstable idle; Engine stalls at idle; High or low idle RPM,"Inspect IAC valve/actuator wiring; Clean IAC valve/throttle body; Replace IAC valve/actuator if faulty",Located on or near the throttle body
P0560,System Voltage Malfunction,Battery / Charging System,critical,"The ECU detects that the system voltage is outside the normal operating range, indicating a problem with the battery or charging system.",Dim lights; Engine may not start; Electrical components malfunction,"Check battery terminals and voltage; Test charging system (stator/regulator); Inspect wiring harness",Battery under the seat, charging components on the engine
P0562,System Voltage Low,Battery / Charging System,critical,"The ECU detects that the system voltage is consistently too low, typically below 12.0V, during engine operation.",Engine cranking slowly; Lights dim; Electronic systems may shut down,"Charge battery and retest; Inspect charging system (stator/regulator) output; Check for parasitic drains",Battery under the seat, charging components on the engine
P0601,Internal Control Module Memory Check Sum Error (ECM),Engine Control Unit (ECU),critical,"The ECU has detected an internal error with its memory, often indicating a fault within the ECU hardware or software.",Engine fails to start; Engine may run erratically; Multiple other DTCs may be present,"Attempt ECU reset (disconnect battery); Check power/ground to ECU; ECU replacement typically required",Under the seat or fairings
11,Main Throttle Sensor Malfunction,Main Throttle Position Sensor (TPS),critical,"The ECU detects an abnormal voltage or signal from the main throttle position sensor, indicating an incorrect throttle opening.",Erratic idle; Engine unwilling to rev; FI light on,"Check TPS wiring for damage; Calibrate TPS if adjustable; Replace TPS if readings are incorrect",Attached to the throttle body shaft
12,Intake Air Pressure Sensor Malfunction,Intake Air Pressure (MAP) Sensor,warning,"The ECU detects an abnormal voltage or signal from the Intake Air Pressure (MAP) sensor, affecting fuel-air mixture calculations.",Poor acceleration; Engine may stall; Reduced power,"Inspect vacuum lines for leaks; Check MAP sensor wiring; Replace MAP sensor if faulty",Located on the intake manifold or near the throttle body
13,Intake Air Temperature Sensor Malfunction,Intake Air Temperature (IAT) Sensor,warning,"The ECU detects an abnormal voltage or signal from the Intake Air Temperature (IAT) sensor, which monitors the temperature of the incoming air.",Poor cold starting; Incorrect fuel-air mixture; Reduced engine performance,"Inspect IAT sensor wiring; Measure sensor resistance; Replace IAT sensor if out of specification",Located in the airbox or intake tract
14,Water Temperature Sensor Malfunction,Engine Coolant Temperature (ECT) Sensor,warning,"The ECU detects an abnormal voltage or signal from the Engine Coolant Temperature (ECT) sensor, which monitors engine operating temperature.",Hard starting; Overheating concerns; Incorrect fan operation,"Inspect ECT sensor wiring; Measure sensor resistance; Replace ECT sensor if faulty",Located near the cylinder head or thermostat housing
15,Sub-Throttle Sensor Malfunction,Sub-Throttle Position Sensor (STPS),critical,"The ECU detects an abnormal voltage or signal from the sub-throttle position sensor, impacting engine power delivery and smoothness.",Reduced power; Hesitation during acceleration; Rough throttle response,"Check STPS wiring; Verify sensor voltage output; Replace sub-throttle body assembly if sensor is integral",Attached to the sub-throttle body assembly
16,Vehicle-Down Sensor Malfunction,Vehicle-Down Sensor (Tip-Over Sensor),critical,"The ECU detects a fault or incorrect reading from the vehicle-down sensor, which detects if the motorcycle has fallen over.",Engine fails to start; Engine stalls immediately after starting; No spark/fuel,"Check sensor mounting and orientation; Inspect sensor wiring; Replace vehicle-down sensor if faulty",Often under the seat or fairings, mounted upright
21,Crankshaft Position Sensor Malfunction,Crankshaft Position (CKP) Sensor,critical,"The ECU detects an abnormal or missing signal from the crankshaft position sensor, essential for determining engine speed and piston position.",Engine fails to start; Engine stalls while running; No spark,"Check CKP sensor wiring; Test CKP sensor resistance/output; Replace CKP sensor if faulty",Located near the crankshaft, often behind the stator cover
23,Camshaft Position Sensor Malfunction,Camshaft Position (CMP) Sensor,critical,"The ECU detects an abnormal or missing signal from the camshaft position sensor, essential for valve timing and fuel injection synchronization.",Engine fails to start; Reduced engine power; Incorrect timing,"Check CMP sensor wiring; Test CMP sensor resistance/output; Replace CMP sensor if faulty",Located near the camshaft, often on the cylinder head
24,Vehicle Speed Sensor Malfunction,Vehicle Speed Sensor (VSS),warning,"The ECU detects an abnormal or missing signal from the vehicle speed sensor, affecting speedometer and speed-dependent functions.",Speedometer not working; Cruise control failure; Inconsistent gear changes,"Check VSS wiring for damage; Test VSS output; Replace VSS if faulty",Located on the transmission or front/rear wheel
25,Gear Position Sensor Malfunction,Gear Position Sensor (GPS),info,"The ECU detects an abnormal or missing signal from the gear position sensor, affecting gear display and some engine maps.",Incorrect gear display; Neutral light issues; Difficulty shifting,"Check GPS wiring; Inspect sensor for damage; Replace GPS if faulty",Located on the side of the engine near the shift drum
31,Vehicle-Down Sensor Malfunction,Vehicle-Down Sensor (Tip-Over Sensor),critical,"Similar to code 16, this indicates a fault or incorrect reading from the vehicle-down sensor, which detects if the motorcycle has fallen over.",Engine fails to start; Engine stalls immediately after starting; No spark/fuel,"Check sensor mounting and orientation; Inspect sensor wiring; Replace vehicle-down sensor if faulty",Often under the seat or fairings, mounted upright
32,Sub-Throttle Valve Actuator Malfunction,Sub-Throttle Valve Actuator (STVA),critical,"The ECU detects an electrical or mechanical fault with the sub-throttle valve actuator, which controls secondary throttle plates for smooth power delivery.",Erratic power delivery; Rough acceleration; Reduced top-end power,"Check STVA wiring; Test actuator movement; Replace sub-throttle actuator or assembly",Integrated into the throttle body assembly
33,O2 Sensor Malfunction,Oxygen (O2) Sensor,warning,"The ECU detects an abnormal signal from the oxygen sensor, indicating it's not performing correctly or a circuit issue.",Decreased fuel economy; Increased emissions; MIL illuminated,"Check O2 sensor wiring and connectors; Test O2 sensor output voltage; Replace O2 sensor if faulty",Located in the exhaust header pipe, before the catalytic converter
34,Exhaust Pipe Valve Actuator Malfunction,Exhaust Valve Actuator (EXUP/EXCV),warning,"The ECU detects a fault with the exhaust pipe valve actuator, which controls a valve in the exhaust to optimize power at different RPMs.",Reduced power in certain RPM ranges; Loud exhaust note; FI light on,"Check actuator wiring; Inspect exhaust valve for free movement; Replace actuator if faulty",Located near the exhaust header or collector, connected to the exhaust valve
39,ECU Communication Error,Engine Control Unit (ECU) / Wiring Harness,critical,"The ECU detects a failure in communication with other modules or an internal communication error, indicating a serious issue.",Engine fails to start; Multiple warning lights; Intermittent electrical issues,"Check ECU power/ground wires; Inspect communication bus wires (e.g., CAN bus); ECU replacement may be necessary",Under the seat or fairings
41,Fuel Injector #1 Malfunction,Fuel Injector (Cylinder 1),critical,"The ECU detects an electrical fault in the circuit controlling the fuel injector for cylinder 1, leading to improper fuel delivery.",Engine misfire; Rough running; Loss of power for cylinder 1,"Check injector wiring for shorts/opens; Test injector resistance; Replace injector if faulty",Attached to the intake manifold, supplying cylinder 1
42,Fuel Injector #2 Malfunction,Fuel Injector (Cylinder 2),critical,"The ECU detects an electrical fault in the circuit controlling the fuel injector for cylinder 2, leading to improper fuel delivery.",Engine misfire; Rough running; Loss of power for cylinder 2,"Check injector wiring for shorts/opens; Test injector resistance; Replace injector if faulty",Attached to the intake manifold, supplying cylinder 2
43,Fuel Injector #3 Malfunction,Fuel Injector (Cylinder 3),critical,"The ECU detects an electrical fault in the circuit controlling the fuel injector for cylinder 3, leading to improper fuel delivery.",Engine misfire; Rough running; Loss of power for cylinder 3,"Check injector wiring for shorts/opens; Test injector resistance; Replace injector if faulty",Attached to the intake manifold, supplying cylinder 3
44,Fuel Injector #4 Malfunction,Fuel Injector (Cylinder 4),critical,"The ECU detects an electrical fault in the circuit controlling the fuel injector for cylinder 4, leading to improper fuel delivery.",Engine misfire; Rough running; Loss of power for cylinder 4,"Check injector wiring for shorts/opens; Test injector resistance; Replace injector if faulty",Attached to the intake manifold, supplying cylinder 4
51,Ignition Coil #1 Malfunction,Ignition Coil (Cylinder 1),critical,"The ECU detects an electrical fault in the ignition coil circuit for cylinder 1, preventing proper spark.",Engine misfire; Rough running; Loss of power for cylinder 1,"Check coil wiring; Test coil resistance; Replace ignition coil if faulty",Mounted directly on the spark plug or near the cylinder head
52,Ignition Coil #2 Malfunction,Ignition Coil (Cylinder 2),critical,"The ECU detects an electrical fault in the ignition coil circuit for cylinder 2, preventing proper spark.",Engine misfire; Rough running; Loss of power for cylinder 2,"Check coil wiring; Test coil resistance; Replace ignition coil if faulty",Mounted directly on the spark plug or near the cylinder head
53,Ignition Coil #3 Malfunction,Ignition Coil (Cylinder 3),critical,"The ECU detects an electrical fault in the ignition coil circuit for cylinder 3, preventing proper spark.",Engine misfire; Rough running; Loss of power for cylinder 3,"Check coil wiring; Test coil resistance; Replace ignition coil if faulty",Mounted directly on the spark plug or near the cylinder head
54,Ignition Coil #4 Malfunction,Ignition Coil (Cylinder 4),critical,"The ECU detects an electrical fault in the ignition coil circuit for cylinder 4, preventing proper spark.",Engine misfire; Rough running; Loss of power for cylinder 4,"Check coil wiring; Test coil resistance; Replace ignition coil if faulty",Mounted directly on the spark plug or near the cylinder head
56,Radiator Fan Relay Malfunction,Radiator Fan / Relay,warning,"The ECU detects a fault in the circuit controlling the radiator fan relay, potentially preventing the fan from operating.",Engine overheating; Fan not activating; High engine temperature gauge readings,"Check fan motor operation; Test relay function; Inspect wiring and fuses",Radiator fan behind the radiator, relay typically in a fuse box
62,Generator (Charging System) Malfunction,Stator / Regulator/Rectifier,critical,"The ECU detects a fault with the generator or charging system, leading to insufficient voltage being supplied to the electrical system.",Battery not charging; Dim lights; Engine may die unexpectedly,"Check stator output; Test regulator/rectifier; Inspect wiring harness",Stator inside the engine cover, regulator/rectifier typically mounted to the frame
63,Oxygen Sensor Heater Malfunction,Oxygen (O2) Sensor Heater,warning,"The ECU detects a fault in the heater circuit of the oxygen sensor, preventing it from reaching optimal operating temperature quickly.",Increased emissions; Poor fuel economy during warm-up; MIL illuminated,"Check O2 sensor heater wiring; Test heater resistance; Replace O2 sensor if heater is faulty",Located in the exhaust header pipe, before the catalytic converter
64,Air Switching Valve Malfunction,PAIR Valve (Secondary Air Injection),info,"The ECU detects a fault in the air switching valve (PAIR valve), which injects fresh air into the exhaust to reduce emissions.",Check engine light on; Minor emissions issue; No noticeable driveability problems,"Check valve wiring for shorts/opens; Test valve operation (vacuum check); Replace PAIR valve if faulty",Located near the cylinder head, part of the exhaust system
65,Evaporative Emission Canister Purge Valve Malfunction,EVAP Purge Valve,info,"The ECU detects an electrical fault in the circuit controlling the EVAP purge control valve, which manages fuel vapor flow from the charcoal canister.",Check engine light on; Minor emissions issue; No noticeable driveability problems,"Check valve wiring for shorts/opens; Test valve operation (click test); Replace purge valve if faulty",Located near the charcoal canister or throttle body
71,ECU Failure,Engine Control Unit (ECU),critical,"The ECU has detected a severe internal malfunction or critical error, often indicating a complete failure of the control unit.",Engine fails to start; No communication with diagnostic tools; Multiple system failures,"Check ECU power and ground connections; Inspect wiring harness for damage; ECU replacement is typically required",Under the seat or fairings
