code,title,affectedPart,severity,problem,symptoms,actions,location
P0105,"Manifold Absolute Pressure Circuit Malfunction","MAP Sensor","warning","The Engine Control Unit (ECU) detects an abnormal signal from the Manifold Absolute Pressure sensor.","Reduced engine power; Rough idle; Poor fuel economy","Check MAP sensor wiring for damage; Clean MAP sensor port; Test sensor output, replace if faulty","Intake manifold"
P0108,"Manifold Absolute Pressure Circuit High Input","MAP Sensor","warning","The Manifold Absolute Pressure sensor is sending an abnormally high voltage signal to the Engine Control Unit (ECU), indicating high pressure.","Engine runs rich; Reduced power; Poor throttle response","Inspect MAP sensor wiring and connector; Test MAP sensor output voltage; Replace MAP sensor if faulty","Intake manifold"
P0113,"Intake Air Temperature Circuit High Input","IAT Sensor","warning","The Intake Air Temperature sensor is reporting an abnormally high temperature, indicating an open circuit or faulty sensor.","Poor cold starting; High idle RPM; Reduced engine power","Inspect IAT sensor wiring and connector; Test IAT sensor resistance; Replace IAT sensor","Airbox or intake tract"
P0118,"Engine Coolant Temperature Circuit High Input","ECT Sensor","warning","The Engine Coolant Temperature sensor is sending an abnormally high voltage signal to the ECU, indicating an open circuit or faulty sensor.","Engine overheating warning; Poor cold starting; Incorrect fuel mixture","Inspect ECT sensor wiring; Test sensor resistance; Replace ECT sensor","Cylinder head or thermostat housing"
P0123,"Throttle Position Sensor Circuit High Input","TPS Sensor","warning","The Throttle Position Sensor (TPS) is sending an abnormally high voltage signal to the ECU, indicating a wide-open throttle or an open circuit.","Erratic idle; Poor acceleration; Engine limp mode","Check TPS wiring and connector; Adjust TPS calibration; Replace TPS if faulty","Throttle body"
P0135,"O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1)","Oxygen Sensor (Lambda)","warning","The heater circuit for the primary oxygen sensor is not functioning correctly, preventing the sensor from reaching operating temperature.","Increased fuel consumption; Poor emissions; MIL illumination","Check O2 sensor heater wiring; Test heater circuit resistance; Replace O2 sensor","Exhaust pipe, before catalytic converter"
P0141,"O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2)","Oxygen Sensor (Lambda)","warning","The heater circuit for the secondary oxygen sensor (post-catalyst) is not functioning correctly, affecting catalyst efficiency monitoring.","Increased fuel consumption; Emissions test failure; MIL illumination","Check O2 sensor heater wiring; Test heater circuit resistance; Replace O2 sensor","Exhaust pipe, after catalytic converter"
P0172,"System Too Rich (Bank 1)","Fuel System / Injectors","warning","The Engine Control Unit (ECU) is detecting too much fuel or too little air in the exhaust gas for Bank 1.","Poor fuel economy; Black smoke from exhaust; Reduced engine power","Check fuel pressure regulator; Inspect fuel injectors for leakage; Check for restricted air filter","Engine bay, fuel rail"
P0175,"System Too Rich (Bank 2)","Fuel System / Injectors","warning","The Engine Control Unit (ECU) is detecting too much fuel or too little air in the exhaust gas for Bank 2 (if applicable).","Poor fuel economy; Black smoke from exhaust; Reduced engine power","Check fuel pressure regulator; Inspect fuel injectors for leakage; Check for restricted air filter","Engine bay, fuel rail"
P0201,"Fuel Injector Circuit Malfunction - Cylinder 1","Fuel Injector","critical","The Engine Control Unit (ECU) has detected an open or short circuit in the electrical circuit of the fuel injector for Cylinder 1.","Engine misfire; Rough idle; Loss of power","Check injector wiring for damage; Test injector resistance; Replace injector if faulty","Cylinder 1 fuel rail"
P0202,"Fuel Injector Circuit Malfunction - Cylinder 2","Fuel Injector","critical","The Engine Control Unit (ECU) has detected an open or short circuit in the electrical circuit of the fuel injector for Cylinder 2.","Engine misfire; Rough idle; Loss of power","Check injector wiring for damage; Test injector resistance; Replace injector if faulty","Cylinder 2 fuel rail"
P0219,"Engine Over-speed Condition","Engine Control Unit (ECU)","critical","The Engine Control Unit (ECU) has detected that the engine RPM has exceeded its maximum safe limit.","Engine shutdown; Reduced power; Limp mode activation","Check for faulty RPM sensor; Inspect ECU for internal errors; Avoid exceeding RPM limits","Engine, ECU"
P0230,"Fuel Pump Primary Circuit Malfunction","Fuel Pump","critical","The Engine Control Unit (ECU) has detected a malfunction in the primary control circuit for the fuel pump.","Engine cranks but won't start; Engine stalls; Loss of fuel pressure","Check fuel pump fuse and relay; Inspect wiring to fuel pump; Test fuel pump for operation","Fuel tank"
P0300,"Random/Multiple Cylinder Misfire Detected","Ignition System / Fuel System","warning","The Engine Control Unit (ECU) has detected misfires occurring in multiple or random cylinders.","Rough idle; Loss of power; Engine vibration","Check spark plugs and coils; Inspect fuel injectors; Perform compression test","Engine"
P0301,"Cylinder 1 Misfire Detected","Ignition System / Fuel System - Cylinder 1","warning","The Engine Control Unit (ECU) has detected a misfire specifically in Cylinder 1.","Rough idle; Loss of power; Engine vibration","Check spark plug and coil for Cylinder 1; Inspect injector for Cylinder 1; Perform compression test on Cylinder 1","Cylinder 1"
P0302,"Cylinder 2 Misfire Detected","Ignition System / Fuel System - Cylinder 2","warning","The Engine Control Unit (ECU) has detected a misfire specifically in Cylinder 2.","Rough idle; Loss of power; Engine vibration","Check spark plug and coil for Cylinder 2; Inspect injector for Cylinder 2; Perform compression test on Cylinder 2","Cylinder 2"
P0335,"Crankshaft Position Sensor 'A' Circuit","Crankshaft Position Sensor (CPS)","critical","The Engine Control Unit (ECU) is not receiving a signal or an incorrect signal from the Crankshaft Position Sensor.","Engine cranks but won't start; Engine stalls; Intermittent loss of power","Check CPS wiring and connector; Test CPS resistance; Replace CPS if faulty","Lower engine block, near crankshaft"
P0340,"Camshaft Position Sensor 'A' Circuit","Camshaft Position Sensor (CMS)","warning","The Engine Control Unit (ECU) is not receiving a signal or an incorrect signal from the Camshaft Position Sensor.","Long crank times; Reduced engine power; Poor fuel economy","Check CMS wiring and connector; Test CMS resistance; Replace CMS if faulty","Cylinder head, near camshaft"
P0444,"Evaporative Emission System Purge Control Valve Circuit Open","EVAP Purge Valve","info","The Engine Control Unit (ECU) detects an open circuit in the electrical connection to the EVAP purge control valve.","Check engine light; Slight increase in emissions","Check wiring and connector to purge valve; Test purge valve solenoid; Replace purge valve","Under fuel tank or near charcoal canister"
P0458,"Evaporative Emission System Purge Control Valve Circuit Low","EVAP Purge Valve","info","The Engine Control Unit (ECU) detects a low voltage signal or short to ground in the electrical connection to the EVAP purge control valve.","Check engine light; Slight increase in emissions","Check wiring for short to ground; Test purge valve solenoid; Replace purge valve","Under fuel tank or near charcoal canister"
P0500,"Vehicle Speed Sensor Malfunction","Vehicle Speed Sensor (VSS)","warning","The Engine Control Unit (ECU) is not receiving a signal or an incorrect signal from the Vehicle Speed Sensor.","Speedometer/odometer erratic or inoperative; ABS/ASC malfunction; Engine limp mode","Check VSS wiring and connector; Clean VSS sensor head; Replace VSS if faulty","Transmission output shaft or wheel hub"
