code,title,affectedPart,severity,problem,symptoms,actions,location
12,Crankshaft Position Sensor No Signal,Crankshaft Position Sensor (CPS),critical,"The ECU detects no normal signal from the crankshaft position sensor, which is essential for engine timing and RPM calculation.",Engine will not start; Engine stalls immediately after starting; No spark,Check CPS wiring for damage; Verify sensor resistance; Replace CPS if faulty,Near the crankshaft, typically on the engine's left or right side cover
13,Intake Air Pressure Sensor (MAP) Open/Short,MAP Sensor,warning,"The ECU detects an open or short circuit in the Intake Air Pressure Sensor, leading to incorrect air-fuel mixture calculations.",Rough idle; Poor acceleration; Decreased fuel economy,Inspect MAP sensor wiring and connector; Test sensor output voltage; Replace MAP sensor,Connected to the air intake manifold, often near the throttle body
14,Intake Air Pressure Sensor Hose Problem,MAP Sensor Hose,warning,"The ECU detects an abnormal pressure reading or a problem with the hose connecting the MAP sensor to the intake manifold.",Engine runs poorly; Fluctuating idle; Decreased engine performance,Check MAP sensor hose for cracks or disconnections; Clear any blockages in the hose; Ensure proper vacuum seal,Hose connects the MAP sensor to the intake manifold
15,Throttle Position Sensor (TPS) Open/Short,Throttle Position Sensor (TPS),warning,"The ECU detects an open or short circuit in the Throttle Position Sensor, providing incorrect throttle angle information.",Hesitation on acceleration; Unstable idle; Engine may rev unexpectedly,Inspect TPS wiring and connector; Check TPS output voltage range; Replace TPS if out of specification,Mounted directly on the throttle body
16,Throttle Position Sensor Stuck,Throttle Position Sensor (TPS),warning,"The ECU detects that the throttle position sensor signal is not changing despite throttle input, indicating it's stuck.",Poor throttle response; Engine speed remains constant; Cruise control issues (if equipped),Check TPS for mechanical sticking; Verify sensor movement; Replace TPS,Mounted directly on the throttle body
19,Sidestand Switch Malfunction,Sidestand Switch,warning,"The sidestand switch circuit has an open or short, preventing the engine from starting or cutting power when in gear.",Engine won't start; Engine cuts out when selecting gear; Immobilizer light may illuminate,Inspect sidestand switch wiring; Test switch continuity; Adjust or replace sidestand switch,Attached to the sidestand pivot point
20,Atmospheric Pressure Sensor Open/Short,Atmospheric Pressure Sensor (APS),warning,"The ECU detects an open or short circuit in the atmospheric pressure sensor, affecting altitude compensation for fuel.",Reduced performance at varying altitudes; Poor fuel economy; Engine running rich or lean,Inspect APS wiring and connector; Test sensor output; Replace APS,Often integrated into the ECU or a separate sensor near the airbox
21,Coolant Temperature Sensor Open/Short,Coolant Temperature Sensor (CTS),warning,"The ECU detects an open or short circuit in the engine coolant temperature sensor, leading to incorrect fuel mixture.",Hard starting when cold; Rich or lean running condition; Cooling fan not operating correctly,Check CTS wiring and connector; Test sensor resistance; Replace CTS,Threaded into the cylinder head or thermostat housing
22,Intake Air Temperature Sensor Open/Short,Intake Air Temperature Sensor (IATS),warning,"The ECU detects an open or short circuit in the intake air temperature sensor, affecting fuel mixture calculations.",Poor fuel economy; Engine running rich or lean; Reduced engine performance,Inspect IATS wiring and connector; Test sensor resistance; Replace IATS,Located in the air box or intake tract
24,O2 Sensor Heater Malfunction,Oxygen Sensor (O2 Sensor),warning,"The ECU detects a fault in the heater circuit of the oxygen sensor, preventing it from reaching operating temperature quickly.",Increased emissions; Decreased fuel efficiency; Check Engine Light (MIL) on,Check O2 sensor heater wiring; Test heater resistance; Replace O2 sensor,Mounted in the exhaust pipe before the catalytic converter
