code,brand,title,affectedPart,severity,problem,symptoms,actions,location
P0030,yamaha,O2 Sensor Heater Control Circuit (Bank 1),O2 Sensor Heater,warning,Malfunction in O2 sensor heater control circuit (open/short).,Longer time to enter closed loop fuel mode; Poor fuel economy on cold startup; Check engine light,Measure O2 sensor heater coil resistance; Check 12V power supply to heater from relay; Check wiring harness,Exhaust header pipe
P0031,yamaha,O2 Sensor Heater Control Circuit Low (Bank 1),O2 Sensor Heater,warning,O2 sensor heater control circuit voltage is below the minimum limit (short to ground or open circuit).,Slight soot on spark plug; Increased tailpipe emissions on cold startup; CEL on,Check for broken wires in O2 sensor connector; Verify ground path; Measure heater resistance,Exhaust header pipe
P0032,yamaha,O2 Sensor Heater Control Circuit High (Bank 1),O2 Sensor Heater,warning,O2 sensor heater control circuit voltage is above the maximum limit (short to 12V).,Potential damage to ECU injector/heater driver; Check engine light illuminated,Inspect wiring harness for shorts to power lines; Check O2 heater relay contacts; Replace sensor,Exhaust header pipe
P0105,yamaha,Manifold Absolute Pressure Circuit Fault,MAP Sensor,warning,Malfunction detected in the Manifold Absolute Pressure (MAP) sensor circuit.,Rough idle; Poor fuel economy; Misfiring; Check engine light on,Check sensor connector; Clean sensor port; Verify 5V reference voltage; Inspect vacuum lines,Throttle body or intake manifold
P0107,yamaha,MAP Sensor Circuit Low Voltage,MAP Sensor,warning,The MAP sensor voltage signal is below the minimum operational range.,Black exhaust smoke; Engine stalling at idle; Weak throttle response,Verify connector pins for corrosion; Test ground circuit; Check MAP sensor resistance; Replace sensor,Throttle body or intake manifold
P0108,yamaha,MAP Sensor Circuit High Voltage,MAP Sensor,warning,The MAP sensor voltage signal is above the maximum operational range.,Lean running; Engine stalling under load; Engine surging/RPM hunting,Verify no short to 12V in signal wire; Test sensor output with vacuum pump; Check sensor reference voltage,Throttle body or intake manifold
P0110,yamaha,Intake Air Temperature Circuit Fault,IAT Sensor,warning,Malfunction in the Intake Air Temperature (IAT) sensor circuit.,Hesitation on acceleration; Heavy fuel smell; Engine runs rich,Check sensor is plugged in; Clean airbox sensor element; Verify sensor resistance,Inside or on top of the airbox
P0112,yamaha,IAT Sensor Circuit Low Input (High Temp),IAT Sensor,warning,The IAT sensor reporting extremely high temperature or voltage signal shorted to ground.,Engine runs too lean when cold; Hesitation; Starting issues,Check wiring harness for short to ground; Measure IAT sensor resistance (cold); Replace IAT sensor,Inside or on top of the airbox
P0113,yamaha,IAT Sensor Circuit High Input (Low Temp),IAT Sensor,warning,The IAT sensor reporting extremely low temperature or circuit open.,Engine runs too rich when warm; Spark plug carbon fouling; Increased emissions,Verify connector is firmly clicked in; Test wiring for open circuit; Replace IAT sensor,Inside or on top of the airbox
P0115,yamaha,Engine Coolant Temp Circuit Malfunction,ECT Sensor,warning,Malfunction in the Engine Coolant Temperature (ECT) sensor circuit.,Radiator fan runs continuously; Engine temp gauge inactive; Hard starting,Verify coolant level; Test ECT sensor resistance (cold vs hot); Check connector pin corrosion,Cylinder head or near thermostat housing
P0116,yamaha,ECT Sensor Range / Performance Issue,ECT Sensor,warning,ECT sensor reading remains static or does not correlate with engine run-time temperature increases.,Fluctuating dashboard temp readout; Engine runs poorly when warm; Fan runs erratically,Check for thermostat stuck open; Verify ECT resistance sweep under heating; Replace sensor,Cylinder head or near thermostat housing
P0117,yamaha,ECT Sensor Circuit Low Voltage,ECT Sensor,warning,ECT sensor reporting extremely high temperature or short to ground.,Temperature lamp flashing red; Radiator fan runs immediately upon ignition; Engine running rich,Check harness for short to ground; Measure sensor resistance; Check radiator coolant level,Cylinder head or near thermostat housing
P0118,yamaha,ECT Sensor Circuit High Voltage,ECT Sensor,warning,ECT sensor reporting extremely low temperature or open circuit.,Temperature lamp stays cold; Radiator fan fails to activate; Hard starting when engine is hot,Verify ECT connector is plugged in; Test sensor resistance; Check wiring for open circuit,Cylinder head or near thermostat housing
P0120,yamaha,Throttle Position Sensor Circuit Fault,TPS Sensor,warning,Malfunction in the Throttle Position Sensor (TPS) circuit.,Throttle input ignored; Engine stalling; Sudden surges while riding,Verify TPS connector is secure; Verify 5V reference supply; Measure TPS resistance sweep,Right side of the throttle body
P0121,yamaha,TPS Sensor Circuit Range/Performance Fault,TPS Sensor,warning,TPS Sensor channel A output is out of normal correlation range with other throttle inputs.,Sluggish acceleration; Lack of throttle sensitivity; Check engine light,Clean throttle barrel; Adjust TPS sensor mounting angle; Inspect connector; Replace TPS,Right side of the throttle body
P0122,yamaha,TPS Sensor Circuit Low Voltage,TPS Sensor,warning,TPS sensor signal voltage is below the expected closed-throttle limit.,Engine hesitates when opening throttle; Stalling; Rough idle,Adjust TPS base position; Clean TPS connector; Test resistance sweep with multimeter; Replace TPS,Right side of the throttle body
P0123,yamaha,TPS Sensor Circuit High Voltage,TPS Sensor,warning,TPS sensor signal voltage is above the expected full-throttle limit.,High idle speed; Engine surging; Black smoke; Poor fuel economy,Check wiring harness for short to 12V; Test sensor output voltage; Adjust or replace TPS,Right side of the throttle body
P0130,yamaha,O2 Sensor Circuit Fault,Oxygen / Lambda Sensor,warning,Malfunction in the Oxygen (O2) sensor circuit.,Check engine light; High fuel consumption; Rich exhaust smell; Rough idling,Check O2 sensor wiring for burns/rubs on exhaust; Inspect sensor tip for carbon; Replace sensor,Exhaust header pipe close to cylinder head
P0131,yamaha,O2 Sensor Circuit Low Voltage (Lean),Oxygen Sensor,warning,O2 sensor signal voltage is stuck low (reporting continuous lean mixture).,Engine hesitation; Surging at steady throttle; High exhaust temperature,Check for exhaust leaks near sensor; Clean sensor tip; Test sensor voltage sweep,Exhaust header pipe close to cylinder head
P0132,yamaha,O2 Sensor Circuit High Voltage (Rich),Oxygen Sensor,warning,O2 sensor signal voltage is stuck high (reporting continuous rich mixture).,Black smoke; Carbon fouled spark plug; Strong fuel smell; Misfiring,Check for leaking fuel injector; Verify sensor is not oil-contaminated; Replace O2 sensor,Exhaust header pipe close to cylinder head
P0133,yamaha,O2 Sensor Circuit Slow Response,Oxygen Sensor,warning,The oxygen sensor response rate is sluggish during rich-to-lean switches.,Flat spots under acceleration; Reduced throttle crispness; Increased emissions,Remove carbon buildup from sensor tip; Inspect for exhaust manifold pinholes; Replace sensor,Exhaust header pipe
P0134,yamaha,O2 Sensor Circuit No Activity Detected,Oxygen Sensor,warning,ECU receives zero voltage or no activity from the oxygen sensor.,Engine stays in open loop; Poor fuel economy; Lumpy idle when warm,Check for open circuit in O2 sensor signal line; Inspect connector locking tabs; Replace sensor,Exhaust header pipe
P0201,yamaha,Fuel Injector Circuit Fault - Cylinder 1,Fuel Injector,critical,Malfunction detected in the fuel injector electrical circuit.,Engine cranks but won't start; Spark is present but cylinder remains completely dry,Check injector connector; Measure injector coil resistance (11-16 ohms); Verify ECU pulsing signal,Attached to the throttle body runner
P0202,yamaha,Fuel Injector Circuit Fault - Cylinder 2,Fuel Injector 2,critical,Malfunction in fuel injector 2 circuit (multi-cylinder models).,Engine runs on one cylinder; Violent vibrations; Check engine light illuminated,Check injector 2 connector; Test coil resistance (11-16 ohms); Check harness wiring,Attached to throttle body runner 2
P0203,yamaha,Fuel Injector Circuit Fault - Cylinder 3,Fuel Injector 3,critical,Malfunction in fuel injector 3 circuit (multi-cylinder models).,Engine misfire; Lost power; Rough sound; Check engine light,Test injector 3 coil resistance; Check electrical harness from ECU; Replace injector,Attached to throttle body runner 3
P0204,yamaha,Fuel Injector Circuit Fault - Cylinder 4,Fuel Injector 4,critical,Malfunction in fuel injector 4 circuit (multi-cylinder models).,Engine misfire; Lost power; Engine runs on three cylinders; CEL on,Test injector 4 coil resistance; Verify wiring continuity; Replace injector,Attached to throttle body runner 4
P0219,yamaha,Engine Overspeed Condition,Engine Mechanical,warning,Engine speed has exceeded the maximum calibrated rev-limit (over-rev).,Potential valve train damage; Engine cuts spark/fuel abruptly; Code stored,Check valve clearances; Perform compression test to ensure no bent valves; Check gear shift history,Engine internal assembly
P0261,yamaha,Injector Circuit Low Voltage,Fuel Injector,critical,The fuel injector electrical circuit voltage is lower than the minimum limit.,Engine misfires; Sluggish throttle response; Engine cuts out under load,Check injector wiring harness for high resistance; Test battery charge; Clean injector terminal,Attached to the throttle body runner
P0262,yamaha,Injector Circuit High Voltage,Fuel Injector,critical,The fuel injector electrical circuit voltage is higher than the maximum limit.,Injector stuck open (flooding engine); Heavy black smoke; Engine lock-up risk,Check wiring harness for short to 12V; Test injector valve function; Inspect ECU driver pin,Attached to the throttle body runner
P0300,yamaha,Random/Multiple Cylinder Misfire,Spark Plug / Ignition,critical,Multiple random misfires detected which can cause damage to the catalytic converter.,Engine runs extremely rough; Backfiring; Loss of power; Flashing check engine light,Check spark plug gap and wear; Test ignition coil resistance; Verify fuel pressure; Inspect fuel filter,Engine cylinder head
P0301,yamaha,Cylinder 1 Misfire Detected,Spark Plug / Coil,critical,Misfires detected specifically on cylinder 1.,Rough idle; Engine vibrating; Loss of compression or ignition,Replace spark plug; Swap ignition coil to verify if fault moves; Check engine compression,Engine cylinder 1
P0302,yamaha,Cylinder 2 Misfire Detected,Spark Plug / Coil 2,critical,Misfires detected specifically on cylinder 2 (multi-cylinder models).,Loss of power; Heavy engine shaking; Cylinder 2 exhaust pipe stays cold,Swap spark plug 2; Test coil 2 secondary output; Perform cylinder compression test,Engine cylinder 2
P0335,yamaha,Crankshaft Position Sensor Circuit Fault,CKP Sensor,critical,Malfunction in the crankshaft position sensor circuit.,Engine cranks but will not start; No spark; Fuel pump primes but no ignition,Test pickup coil resistance (200-400 ohms); Clean stator magnet; Inspect sensor air gap,Left engine stator cover assembly
P0336,yamaha,CKP Sensor Range/Performance,CKP Sensor,critical,Crankshaft sensor signal is erratic or missing pulses.,Engine backfires; Starting is difficult; Sudden cut-out at high RPM,Check air gap between pickup coil and rotor (0.5-1.5mm); Verify rotor teeth are clean,Left engine stator cover assembly
P0351,yamaha,Ignition Coil 'A' Primary Circuit,Ignition Coil 1,critical,Malfunction in the primary control circuit of Ignition Coil A (Cylinder 1).,No spark on Cylinder 1; Engine misfires or fails to start; Fuel pump runs,Measure coil 1 primary resistance (0.5-3 ohms); Check 12V supply wire; Replace coil if open,Mounted near cylinder head 1
P0352,yamaha,Ignition Coil 'B' Primary Circuit,Ignition Coil 2,critical,Malfunction in primary control circuit of Ignition Coil B (Cylinder 2).,No spark on Cylinder 2; Misfire; Loss of power,Measure coil 2 primary resistance; Verify ECU triggering wire; Replace coil,Mounted near cylinder head 2
