code,brand,title,affectedPart,severity,problem,symptoms,actions,location
P0107,generic,MAP Sensor Circuit Low Input,MAP Sensor,warning,The Manifold Absolute Pressure sensor voltage is below the minimum expected range.,Rich running; Poor throttle response; Engine stalling; Black smoke from exhaust,Check MAP sensor connector for corrosion; Inspect vacuum hose for leaks; Test sensor voltage (should be 0.5–4.5V); Replace MAP sensor if faulty,Intake manifold or throttle body area.
P0108,generic,MAP Sensor Circuit High Input,MAP Sensor,warning,The Manifold Absolute Pressure sensor voltage is above the maximum expected range.,Lean mixture; Hesitation on acceleration; Rough idle; High fuel consumption,Check MAP sensor wiring for shorts to power; Verify 5V reference voltage at sensor; Test sensor resistance; Replace MAP sensor,Intake manifold or throttle body area.
P0117,generic,Engine Coolant Temperature Sensor Circuit Low,Coolant Temperature Sensor,warning,The ECT sensor signal is below the expected minimum voltage, indicating a possible short to ground or failed sensor.,Temperature gauge reads max/hot; Engine runs rich; Poor fuel economy; Fan runs constantly,Check ECT sensor connector and wiring; Test sensor resistance (cold ~10kΩ, hot ~150Ω); Inspect for water ingress in connector; Replace ECT sensor,Cylinder head or thermostat housing.
P0118,generic,Engine Coolant Temperature Sensor Circuit High,Coolant Temperature Sensor,warning,The ECT sensor signal is above the expected maximum voltage, indicating open circuit or failed sensor.,Temperature gauge reads cold/zero; Engine runs rich on startup; Poor fuel economy; Cooling fan won't turn on,Check ECT sensor wiring for open circuit; Test sensor with multimeter; Check connector pins for corrosion; Replace ECT sensor,Cylinder head or thermostat housing.
P0122,generic,Throttle Position Sensor Signal Low,Throttle Position Sensor (TPS),warning,The voltage signal from Throttle Position Sensor 'A' is lower than the expected range.,Poor acceleration; Stalling at idle; Jerking while riding; Hesitation on throttle,Check TPS connector for corrosion; Verify 5V reference voltage at TPS; Adjust TPS to correct angle; Replace TPS if out of spec,Mounted on the side of the throttle body.
P0123,generic,Throttle Position Sensor Signal High,Throttle Position Sensor (TPS),warning,The voltage signal from Throttle Position Sensor 'A' is higher than the expected range.,High idle speed; Jerky acceleration; Engine surging; Poor fuel economy,Check TPS wiring for short to power; Test TPS voltage at wide-open throttle (should be ~4.5V); Adjust TPS mounting position; Replace TPS,Mounted on the side of the throttle body.
P0131,generic,"O2 Sensor Circuit Low Voltage (Bank 1, Sensor 1)",O2 / Lambda Sensor,warning,The oxygen sensor is consistently reading a lean mixture or the sensor signal voltage is too low.,Poor fuel economy; Rough idle; Check engine light; Possible black smoke or lean surge,Check O2 sensor wiring harness; Inspect for exhaust leaks near sensor; Test sensor voltage (should vary 0.1–0.9V); Replace O2 sensor if >100,000 km,"On the exhaust pipe, before the catalytic converter."
P0132,generic,"O2 Sensor Circuit High Voltage (Bank 1, Sensor 1)",O2 / Lambda Sensor,warning,The oxygen sensor is consistently reading a rich mixture or the sensor signal is stuck high.,Rich running; Black exhaust smoke; Fuel smell; Poor fuel economy,Check for fuel injector leaking/stuck open; Inspect O2 sensor for contamination (oil or coolant); Test sensor at operating temperature; Replace O2 sensor,"On the exhaust pipe, before the catalytic converter."
P0171,generic,System Too Lean (Bank 1),Fuel/Air System,warning,The ECU is adding more fuel than normal (positive fuel trim) to compensate for a lean condition.,Lean surge at steady throttle; Hesitation on acceleration; Rough idle; Engine stalling,Check for air leaks in intake system; Inspect fuel pressure; Clean fuel injector; Check MAP/MAF sensor; Inspect for vacuum leaks,"Intake manifold, fuel rail, injectors."
P0172,generic,System Too Rich (Bank 1),Fuel/Air System,warning,The ECU is reducing fuel delivery (negative fuel trim) to compensate for an overly rich mixture.,Black exhaust smoke; Strong fuel smell; Poor fuel economy; Engine flooding,Check fuel pressure regulator; Inspect injector for leaking; Check O2 sensor operation; Inspect MAP sensor for fault; Check air filter – may be blocked,"Fuel rail, injectors, intake."
