code,title,affectedPart,severity,problem,symptoms,actions,location
1,MAP Sensor (Vacuum) Circuit Malfunction,MAP Sensor,warning,"The Engine Control Module (ECM) detects an abnormally low or high vacuum signal from the Manifold Absolute Pressure (MAP) sensor. This can indicate a vacuum leak or a sensor fault.",Rough idle; Engine hesitation; Reduced power,Check vacuum lines for leaks; Inspect MAP sensor connector; Test MAP sensor voltage,"On the intake manifold, connected by a vacuum hose."
2,MAP Sensor (Voltage) Circuit Malfunction,MAP Sensor,warning,"The ECM detects a voltage signal from the MAP sensor that is out of the expected operating range, indicating an electrical issue with the sensor or its wiring.",Engine stalling; Difficulty starting; Poor fuel economy,Check MAP sensor wiring for shorts/opens; Verify sensor power and ground; Replace MAP sensor if faulty,"On the intake manifold, connected by a vacuum hose."
7,Engine Coolant Temperature (ECT) Sensor Malfunction,ECT Sensor,warning,"The ECM receives an incorrect temperature reading from the ECT sensor, which is crucial for fuel mixture calculations and engine timing.",Hard starting when cold/hot; Rich/lean running; Cooling fan issues,Check sensor wiring and connector; Test sensor resistance at different temperatures; Replace ECT sensor,Screwed into the cylinder head or thermostat housing.
8,Throttle Position (TP) Sensor Malfunction,TP Sensor,critical,"The ECM detects an abnormal voltage output from the TP sensor, which measures the throttle plate's opening angle, affecting fuel delivery and ignition timing.",Erratic idle; Engine surging; Loss of throttle response,Inspect TP sensor wiring; Check sensor for proper calibration; Replace TP sensor if out of spec,Attached directly to the throttle body shaft.
9,Intake Air Temperature (IAT) Sensor Malfunction,IAT Sensor,warning,"The ECM detects an incorrect temperature reading for the intake air, leading to inaccurate fuel mixture calculations.",Poor fuel efficiency; Reduced power; Emissions issues,Check IAT sensor wiring; Test sensor resistance; Replace IAT sensor,Located in the airbox or intake manifold.
10,Atmospheric Pressure (ATMP) Sensor Malfunction,ATMP Sensor,warning,"The ECM detects an abnormal atmospheric pressure reading, which is used for altitude compensation in fuel mapping.",Reduced engine performance at varying altitudes; Excessive fuel consumption,Inspect sensor wiring; Check sensor reading against known atmospheric pressure; Replace ATMP sensor,"Often integrated into the ECM or located near it, sometimes on the airbox."
11,Vehicle Speed Sensor (VSS) Malfunction,VSS,warning,"The ECM is not receiving a correct speed signal from the VSS, affecting speedometer operation, gear position indication, and sometimes limiting engine power.",Speedometer not working; Cruise control failure; Engine 'limp mode',Check VSS wiring and connector; Inspect VSS for damage or debris; Replace VSS,On the transmission output shaft or front/rear wheel speed sensor (ABS type).
12,Fuel Injector No. 1 Malfunction,Fuel Injector 1,critical,"The ECM detects an open or short circuit in the No. 1 fuel injector's electrical circuit, preventing proper fuel delivery to that cylinder.",Engine misfire; Rough idle; Loss of power in one cylinder,Check injector wiring and connector; Test injector resistance; Swap injector with another cylinder to confirm fault,"Mounted in the throttle body or intake runner, above the intake valve for cylinder 1."
13,Fuel Injector No. 2 Malfunction,Fuel Injector 2,critical,"The ECM detects an open or short circuit in the No. 2 fuel injector's electrical circuit, preventing proper fuel delivery to that cylinder.",Engine misfire; Reduced power; Increased emissions,Check injector wiring and connector; Test injector resistance; Inspect for fuel leaks,"Mounted in the throttle body or intake runner, above the intake valve for cylinder 2."
18,Cam Pulse Generator (CMP) Sensor Malfunction,CMP Sensor,critical,"The ECM is not receiving a proper signal from the CMP sensor, which synchronizes fuel injection and ignition timing with the camshaft position.",Engine no-start; Cranks but no start; Misfire,Inspect sensor wiring; Check sensor air gap and debris; Test sensor output signal,"Located on the cylinder head, near the camshaft."
19,Bank Angle Sensor Malfunction,Bank Angle Sensor,critical,"The bank angle sensor detects the motorcycle's lean angle. A malfunction in its circuit can cause the engine to shut off as a safety measure.",Engine cuts out unexpectedly; Engine will not start; Intermittent power loss,Check sensor wiring; Verify sensor mounting orientation; Replace sensor if faulty,Typically mounted securely under the seat or near the front fairing.
21,Oxygen (O2) Sensor Malfunction,O2 Sensor,warning,"The ECM detects an abnormal signal from the O2 sensor, which monitors exhaust gas oxygen content to adjust the fuel mixture.",Poor fuel economy; Increased emissions; Reduced engine performance,Inspect O2 sensor wiring; Check for exhaust leaks before the sensor; Replace O2 sensor,Screwed into the exhaust manifold or exhaust pipe before the catalytic converter.
23,O2 Sensor Heater Malfunction,O2 Sensor Heater,warning,"The ECM detects an open or short circuit in the O2 sensor's heater circuit, preventing the sensor from reaching its operating temperature quickly.",Increased emissions, especially on cold start; Poor fuel economy before warmup,Check heater circuit wiring; Test heater element resistance; Replace O2 sensor (heater is integrated),"Integrated within the O2 sensor, screwed into the exhaust."
25,Knock Sensor Malfunction,Knock Sensor,warning,"The ECM detects a malfunction in the knock sensor circuit, which listens for engine knocking/detonation and allows the ECM to retard ignition timing.",Reduced engine power; Pre-ignition/detonation; Engine overheating,Check sensor wiring and connector; Ensure sensor is properly torqued; Replace knock sensor,Bolted to the engine block or cylinder head.
29,Idle Air Control (IAC) Valve Malfunction,IAC Valve,warning,"The ECM detects an issue with the IAC valve circuit or its operation, preventing proper idle speed control.",Erratic idle; Stalling at idle; High or low idle speed,Clean IAC valve; Check valve wiring; Test valve operation with diagnostic tool,Mounted on or near the throttle body.
33,ECM Internal Error (EEPROM/CPU),Engine Control Module (ECM),critical,"A detected internal error within the ECM's memory or processing unit, indicating a severe malfunction of the control unit itself.",Engine no-start; Intermittent power loss; Multiple unrelated DTCs,Check ECM power and ground; Verify ECM connectors; ECM replacement may be required,"Typically located under the seat, behind a side panel, or in the fairing."
